Indicated ^vbn+vprv+tht0+xvbn+=Indicated
cells ^nns++++=cells
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
with ^in++++=with
4 ^zz++++=4-percent
- ^zz++++=EXTRAWORD
percent ^nnu++++=EXTRAWORD
Pfa ^np+++??+=PFA
for ^in++++=for
10 ^cd++++=10-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
then ^rn+tm+++=then
washed ^vbd+++xvbn+=washed
twice ^rb++++=twice
with ^in++++=with
Pbs ^np+++??+=PBS
and ^cc++++=and
permeabilized ^vpsv++agls+xvbn+=permeabilized
with ^in++++=with
ice ^nn++++=ice
cold ^nn++++=cold
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
ethanol ^nn+++??+=ethanol.
. ^zz++++=EXTRAWORD
96 ^cd++++=96-well
- ^zz++++=EXTRAWORD
well ^rb++++=EXTRAWORD
glass ^nn++++=glass
bottom ^jjb+atrb+++=bottom
plates ^nns++++=plates
( ^zz++++=(Cellvis)
cellvis ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
at ^rb++++=at
4 ^zz++++=4
C ^zz++++=C
overnight ^jjb++++=overnight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day,
, ^zz++++=EXTRAWORD
ethanol ^nn+++??+=ethanol
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced
with ^in++++=with
Wash ^np++++=Wash
Buffer ^np+++??+=Buffer
A ^at++++=A
( ^zz++++=(Stellaris)
stellaris ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
incubated ^xvbn+++xvbn+=incubated
at ^rb++++=at
room ^nn++++=room
temperature ^nn++++=temperature
for ^in++++=for
5 ^zz++++=5-min.
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Buffer ^np+++??+=Buffer
A ^at++++=A
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
replaced ^vpsv++agls+xvbnx+=replaced
with ^in++++=with
hybridization ^nn+nom+++=hybridization
buffer ^nn++++=buffer
( ^zz++++=(Stellaris)
stellaris ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
5 ^zz++++=5
M ^zz++++=M
5 ^zz++++=5
- ^zz++++=-Cy5-Oligo
cy5 ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
oligo ^nn+++??+=EXTRAWORD
d(t)20 ^nn+++??+=d(T)20
( ^zz++++=(Gene
gene ^np++++=EXTRAWORD
Link ^nn++++=Link)
) ^zz++++=EXTRAWORD
( ^zz++++=(hybridizes
hybridizes ^vbz++++=EXTRAWORD
to ^in++++=to
polya ^nn+++??+=polyA
tails ^nns++++=tails
of ^in++++=of
mrna ^nn+++??+=mRNA)
) ^zz++++=EXTRAWORD
and ^cc++++=and
incubated ^vpsv++agls+xvbn+=incubated
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark
for ^in++++=for
16 ^cd++++=16
h ^zz++++=h
to ^in++++=to
probe ^nn++++=probe
polyadenylated ^vbd+++xvbn+=polyadenylated
mrna ^nn+++??+=mRNA.
. ^zz++++=EXTRAWORD
Hybridization ^np+nom++??+=Hybridization
buffer ^nn++++=buffer
was ^vbd+bedz+aux++=was
replaced ^vpsv++agls+xvbnx+=replaced
with ^in++++=with
Wash ^np++++=Wash
Buffer ^np+++??+=Buffer
A ^at++++=A,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
at ^rb++++=at
37 ^cd++++=37
C ^zz++++=C
for ^in++++=for
30 ^cd++++=30-min,
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
replaced ^vbd+++xvbn+=replaced
with ^in++++=with
Wash ^np++++=Wash
Buffer ^np+++??+=Buffer
B ^zz++++=B,
, ^zz++++=EXTRAWORD
incubating ^vbg+++xvbg+=incubating
at ^in++++=at
room ^nn++++=room
temperature ^nn++++=temperature
for ^in++++=for
another ^dt++++=another
5 ^zz++++=5-min.
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
three ^cd++++=three
Pbs ^np+++??+=PBS
washes ^nns++++=washes,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
imaged ^vpsv++agls+xvbnx+=imaged
with ^in++++=with
nikon ^np++++=Nikon
a1 ^np++++=A1
laser ^jjr++++=laser-scanning
- ^zz++++=EXTRAWORD
scanning ^vbg+++xvbg+=EXTRAWORD
confocal ^jj+atrb+++=confocal
microscope ^nn++++=microscope.
. ^zz++++=EXTRAWORD
