Ide ^np+++??+=Ide-cel
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
manufactured ^vpsv++agls+xvbnx+=manufactured
as ^cs+sub+++=as
described ^jj+++xvbn+=described
previously ^rb+tm+++=previously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
actual ^jj+atrb+++=actual
doses ^nns++++=doses
delivered ^vwbn+++xvbn+=delivered
were ^vbd+bed+vrb++=were
within ^in++++=within
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
target ^nn++++=target
doses ^nns++++=doses.
. ^zz++++=EXTRAWORD
Bridging ^vbg+++xvbg+=Bridging
therapy ^nn++++=therapy
was ^vbd+bedz+aux++=was
allowed ^vpsv++agls+xvbnx+=allowed
during ^in++++=during
manufacturing ^xvbg+++xvbg+=manufacturing
but ^cc++++=but
was ^vbd+bedz+aux++=was
stopped ^vpsv++agls+xvbnx+=stopped
at ^rb++++=at
least ^rb"++++=least
14 ^cd++++=14
days ^nns++++=days
before ^cs+sub+++=before
lymphodepletion ^nn+nom+++=lymphodepletion
and ^cc++++=and
was ^vbd+bedz+aux++=was
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
certain ^jj+atrb+++=certain
drug ^nn++++=drug
classes ^nns++++=classes
and ^cc++++=and
to ^in++++=to
drugs ^nns++++=drugs
previously ^rb+tm+++=previously
received ^vpsv++agls+xvbn+=received.
. ^zz++++=EXTRAWORD
