Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
research ^nn++++=research
on ^in++++=on
refugees ^nns+nom+++=refugees
focused ^vbd+++xvbn+=focused
largely ^rb++++=largely
on ^in++++=on
identifying ^xvbg+++xvbg+=identifying
causal ^jj+atrb+++=causal
relationships ^nns+nom+++=relationships
between ^in++++=between
exposure ^nn++++=exposure
to ^in++++=to
premigration ^nn+nom+++=premigration
violence ^nn+nom+++=violence
and ^cc++++=and
adverse ^jj+atrb+++=adverse
mental ^jj+atrb+++=mental
health ^nn++++=health
outcomes ^nns+++??+=outcomes;
; ^zz++++=EXTRAWORD
in ^in++++=in
more ^rbr++++=more
recent ^jj+atrb+++=recent
years ^nns++++=years,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
interest ^nn++++=interest
by ^in++++=by
researchers ^nns+nom+++=researchers
to ^to++++=to
broaden ^vbi++++=broaden
investigations ^nns+nom+++=investigations
to ^to++++=to
also ^rb++splt++=also
explore ^vbi++++=explore
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
chronic ^jj+atrb+++=chronic,
, ^zz++++=EXTRAWORD
daily ^jj+atrb+++=daily
stressors ^nns++++=stressors
experienced ^vbd+++xvbn+=experienced
in ^in++++=in
resettlement ^nn+nom+++=resettlement
( ^zz++++=(
51 ^cd++++=51
) ^zz++++=).
. ^zz++++=EXTRAWORD
Familyand ^np+++??+=Familyand
community ^nn+nom+++=community-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
risk ^nn++++=risk
factors ^nns++++=factors
for ^in++++=for
mental ^jj+atrb+++=mental
health ^nn++++=health
problems ^nns++++=problems
among ^in++++=among
resettled ^vbd+++xvbn+=resettled
refugee ^nn++++=refugee
youth ^nn++++=youth
include ^vb++++=include
being ^vbg+beg++xvbg+=being
unaccompanied ^jj++++=unaccompanied
or ^cc+phrs+++=or
living ^jj+++xvbg+=living
in ^in++++=in
a ^at++++=a
single ^jj++++=single-parent
- ^zz++++=EXTRAWORD
parent ^nn++++=EXTRAWORD
household ^nn++++=household,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
parents ^nns++++=parents
with ^in++++=with
psychiatric ^jj+atrb+++=psychiatric
problems ^nns++++=problems
or ^cc+cls+++=or
who ^whp+who+++=who
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
violence ^nn+nom+++=violence,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
hardship ^nn+nom+++=hardship,
, ^zz++++=EXTRAWORD
perceived ^vpbn+vprv++xvbn+=perceived
discrimination ^nn+nom+++=discrimination
in ^in++++=in
the ^ati++++=the
host ^nn++++=host
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exposure ^nn++++=exposure
to ^in++++=to
postmigration ^nn+nom+++=postmigration
violence ^nn+nom+++=violence
( ^zz++++=(
29 ^cd++++=29
, ^zz++++=,
66 ^cd++++=66
