To ^in++++=To
harmonise ^nn+++??+=harmonise
cognitive ^nn+++??+=cognitive
tests ^nns++++=tests
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
studies ^nns++++=studies
and ^cc++++=and
allow ^vb++++=allow
comparison ^nn++++=comparison
between ^in++++=between
cognitive ^nn+++??+=cognitive
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
cognitive ^nn+++??+=cognitive
scores ^nns++++=scores
were ^vbd+bed+aux++=were
standardised ^vpsv++agls+xvbnx+=standardised
separately ^rb++++=separately
in ^in++++=in
each ^dt++++=each
study ^nn++++=study
on ^in++++=on
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
the ^ati++++=the
mean ^nn++++=mean
and ^cc++++=and
Sd ^np+++??+=SD
of ^in++++=of
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
test ^nn++++=test
among ^in++++=among
participants ^nns++++=participants
aged ^jj++++=aged
50 ^cd++++=50
59 ^cd++++=59
years ^nns++++=years
with ^in++++=with
secondary ^jj+atrb+++=secondary
education ^nn++++=education.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
pooled ^vpsv++agls+xvbnx+=pooled
for ^in++++=for
analyses ^nns++++=analyses.
. ^zz++++=EXTRAWORD
Linear ^jj+atrb+++=Linear
mixed ^jj+atrb++xvbn+=mixed
models ^nns++++=models
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
differences ^nns++++=differences
between ^in++++=between
sexes ^nns++++=sexes
in ^in++++=in
cognitive ^nn+++??+=cognitive
performance ^nn++++=performance
and ^cc++++=and
decline ^nn++++=decline.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
models ^nns++++=models
use ^nn++++=use
all ^abn++++=all
available ^jj+atrb+++=available
data ^nns++++=data
over ^in++++=over
the ^ati++++=the
follow ^vb+vprv+++=follow-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
handle ^vb++++=handle
differences ^nns++++=differences
in ^in++++=in
length ^nn++++=length
of ^in++++=of
follow ^vb+vprv+++=follow-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
correlation ^nn++++=correlation
of ^in++++=of
the ^ati++++=the
measures ^nns++++=measures
in ^in++++=in
each ^dt++++=each
study ^nn++++=study
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
correlation ^nn++++=correlation
of ^in++++=of
the ^ati++++=the
repeated ^jj+atrb++xvbn+=repeated
measures ^nns++++=measures
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
individual ^nn++++=individual.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
the ^ati++++=the
intercept ^vb++++=intercept
( ^zz++++=(at
at ^rb++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
individual ^jj+atrb+++=individual
level ^nn++++=level)
) ^zz++++=EXTRAWORD
and ^cc++++=and
slope ^nn++++=slope
( ^zz++++=(at
at ^rb++++=EXTRAWORD
the ^ati++++=the
individual ^jj+atrb+++=individual
level ^nn++++=level)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
fitted ^vpsv++agls+xvbnx+=fitted
as ^ql++++=as
random ^rb++++=random
effects ^nns++++=effects
with ^in++++=with
an ^at++++=an
unstructured ^jj+atrb+++=unstructured
covariance ^nn+++??+=covariance
matrix ^nn++++=matrix
at ^in++++=at
the ^ati++++=the
individual ^jj+atrb+++=individual
level ^nn++++=level,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
for ^in+ppvb+++=for
the ^ati++++=the
consideration ^nn++++=consideration
of ^in++++=of
study ^nn++++=study-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
individual ^jj+atrb+++=individual
differences ^nns++++=differences
in ^in++++=in
cognitive ^nn+++??+=cognitive
performance ^nn++++=performance
at ^rb++++=at
baseline ^nn+++??+=baseline
and ^cc++++=and
individual ^jj+atrb+++=individual
differences ^nns++++=differences
in ^in++++=in
rate ^nn++++=rate
of ^in++++=of
cognitive ^nn+++??+=cognitive
decline ^vb++++=decline
in ^in++++=in
model ^nn++++=model
coefficient ^nn++++=coefficient
estimation ^nn++++=estimation.
. ^zz++++=EXTRAWORD
Age ^nn++++=Age
was ^vbd+bedz+aux++=was
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
the ^ati++++=the
time ^nn++++=time
scale ^nn++++=scale
and ^cc++++=and
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
centred ^vpsv++agls+xvbnx+=centred
at ^rb++++=at
age ^nn++++=age
60 ^cd++++=60
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Initial ^jj+atrb+++=Initial
models ^nns++++=models
for ^in++++=for
memory ^nn++++=memory
and ^cc++++=and
fluency ^nn++++=fluency
including ^in++++=including
effects ^nns++++=effects
of ^in++++=of
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
sex ^nn++++=sex
by ^in++++=by
age ^nn++++=age,
, ^zz++++=EXTRAWORD
age ^nn++++=age,
, ^zz++++=EXTRAWORD
age ^nn++++=age
2 ^zz++++=2
, ^zz++++=,
age ^nn++++=age
3 ^zz++++=3
, ^zz++++=,
ethnicity ^nn+++??+=ethnicity,
, ^zz++++=EXTRAWORD
birth ^nn++++=birth
cohort ^nn++++=cohort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
practice ^nn++++=practice
were ^vbd+bed+vrb++=were
fit ^jj++++=fit
to ^to+jcmp+++=to
produce ^vbi++++=produce
summary ^jj+atrb+++=summary
measures ^nns++++=measures
of ^in++++=of
cognitive ^nn+++??+=cognitive
performance ^nn++++=performance
and ^cc++++=and
decline ^nn++++=decline.
. ^zz++++=EXTRAWORD
Covariates ^np+++??+=Covariates
by ^in++++=by
practice ^nn++++=practice
effect ^nn++++=effect
interactions ^nns++++=interactions
were ^vbd+bed+aux++=were
examined ^vpsv++agls+xvbnx+=examined
and ^cc+phrs+++=and
retained ^vprf+++xvbn+=retained
if ^cs+cnd+++=if
was ^vbd+bedz+vrb++=was
less ^ql++++=less
than ^cs+sub+++=than
0 ^zz++++=0
05 ^nn+++??+=05
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
Wald ^np+++??+=Wald
test ^nn++++=test;
; ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj+atrb+++=initial
model ^nn++++=model
for ^in++++=for
fluency ^nn++++=fluency
additionally ^vb+++??+=additionally
included ^vbd+++xvbn+=included
practice ^nn++++=practice
effect ^nn++++=effect
by ^in++++=by
sex ^nn++++=sex
interaction ^nn++++=interaction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
adjusted ^vpsv++agls+xvbnx+=adjusted
for ^in++++=for
birth ^nn++++=birth
cohort ^nn++++=cohort,
, ^zz++++=EXTRAWORD
with ^in++++=with
models ^nns++++=models
including ^in++++=including
all ^abn++++=all
covariates ^nns+++??+=covariates
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
model ^nn++++=model
and ^cc++++=and
higher ^jjr++++=higher-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
interactions ^nns++++=interactions
of ^in++++=of
sex ^nn++++=sex
by ^in++++=by
age ^nn++++=age,
, ^zz++++=EXTRAWORD
birth ^nn++++=birth
cohort ^nn++++=cohort
by ^in++++=by
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sex ^nn++++=sex
by ^in++++=by
birth ^nn++++=birth
cohort ^nn++++=cohort
by ^in++++=by
age ^nn++++=age
using ^vwbg+++xvbg+=using
backwards ^rb++++=backwards
selection ^nn++++=selection
with ^in++++=with
of ^in++++=of
less ^ql++++=less
than ^cs+sub+++=than
0 ^zz++++=0
05 ^nn+++??+=05
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
Wald ^np+++??+=Wald
test ^nn++++=test.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
covariates ^nns+++??+=covariates
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
initial ^jj+atrb+++=initial
model ^nn++++=model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
final ^jj+atrb+++=final
birth ^nn++++=birth-cohort
- ^zz++++=EXTRAWORD
cohort ^nn++++=EXTRAWORD
adjusted ^vwbn+++xvbn+=adjusted
model ^nn++++=model
included ^vbd+++xvbn+=included
birth ^nn++++=birth
cohort ^nn++++=cohort
by ^in++++=by
age ^nn++++=age
3 ^zz++++=3
and ^cc++++=and
lower ^jjr++++=lower-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
interactions ^nns++++=interactions
for ^in++++=for
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
birth ^nn++++=birth
cohort ^nn++++=cohort
by ^in++++=by
sex ^nn++++=sex
by ^in++++=by
age ^nn++++=age
2 ^zz++++=2
and ^cc++++=and
lower ^jjr++++=lower-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
interactions ^nns++++=interactions
for ^in++++=for
fluency ^nn++++=fluency.
. ^zz++++=EXTRAWORD
