Sds ^np+++??+=SDS-PAGE
- ^zz++++=EXTRAWORD
page ^nn++++=EXTRAWORD
separation ^nn+nom+++=separation
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
on ^in++++=on
commercially ^rb++++=commercially
available ^jj+atrb+++=available
Tris ^np+++??+=Tris/Glycine
( ^zz++++=(Bio-Rad)
bio ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
rad ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
Mops ^np+++??+=MOPS
( ^zz++++=(GenScript)
genscript ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
systems ^nns++++=systems
using ^vwbg+++xvbg+=using
standard ^jj+atrb+++=standard
methods ^nns++++=methods.
. ^zz++++=EXTRAWORD
For ^in++++=For
phosphoprotein ^nn+++??+=phosphoprotein-impeding
- ^zz++++=EXTRAWORD
impeding ^vbg+++xvbg+=EXTRAWORD
electrophoresis ^nns+++??+=electrophoresis
( ^zz++++=(
Phostag ^np++++=Phostag
, ^zz++++=,
Wako ^np+++??+=Wako
Chemicals ^nns+nom+++=Chemicals),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
separations ^nns+nom+++=separations
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
on ^in++++=on
commercially ^rb++++=commercially
available ^jj+atrb+++=available
polyacrylamide ^nn+++??+=polyacrylamide
gels ^nns++++=gels
containing ^vwbg+++xvbg+=containing
Zn ^np+++??+=Zn
2 ^zz++++=2+
+ ^zz++++=EXTRAWORD
that ^dt+dem+++=that
coordinate ^nn+nom+++=coordinate
phosphorylated ^jj+atrb++xvbn+=phosphorylated
residues ^nns++++=residues
to ^in++++=to
slow ^jj++++=slow
their ^pp$+pp3+++=their
migration ^nn+nom+++=migration
through ^in++++=through
the ^ati++++=the
matrix ^nn++++=matrix.
. ^zz++++=EXTRAWORD
After ^in++++=After
separation ^nn+nom+++=separation,
, ^zz++++=EXTRAWORD
metal ^nn++++=metal
ions ^nns++++=ions
were ^vbd+bed+aux++=were
stripped ^vpsv++agls+xvbnx+=stripped
from ^in++++=from
the ^ati++++=the
gel ^nn++++=gel
by ^in++++=by
washing ^xvbg+++xvbg+=washing
three ^cd++++=three
times ^nns++++=times
for ^in++++=for
10 ^cd++++=10
min ^nnu++++=min
in ^in++++=in
10 ^cd++++=10
mm ^nnu++++=mM
Edta ^np+++??+=EDTA,
, ^zz++++=EXTRAWORD
ph ^nn++++=pH
8 ^zz++++=8.
. ^zz++++=EXTRAWORD
Immunoblotting ^np+++??+=Immunoblotting
was ^vbd+bedz+aux++=was
performed ^vpsv++by+xvbnx+=performed
by ^in++++=by
transfer ^nn+nom+++=transfer
to ^in++++=to
a ^at++++=a
0.2 ^nn+++??+=0.2
m ^zz++++=m
Pvdf ^np+++??+=PVDF
membrane ^nn++++=membrane
using ^vwbg+++xvbg+=using
a ^at++++=a
Bio ^np+++??+=Bio-Rad
- ^zz++++=EXTRAWORD
rad ^nn++++=EXTRAWORD
Transblot ^np+++??+=Transblot
Turbo ^np+++??+=Turbo.
. ^zz++++=EXTRAWORD
Membranes ^nns+nom+++=Membranes
were ^vbd+bed+aux++=were
blocked ^vpsv++agls+xvbnx+=blocked
in ^in++++=in
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
non ^&fw++++=non-fat
- ^zz++++=EXTRAWORD
fat ^nn++++=EXTRAWORD
dry ^jj+atrb+++=dry
milk ^nn++++=milk
dissolved ^vwbn+++xvbn+=dissolved
in ^in++++=in
Tbs ^np+++??+=TBS
T ^zz++++=T
. ^zz++++=.
Antibodies ^nns++++=Antibodies,
, ^zz++++=EXTRAWORD
described ^j+++xvbn+=described
in ^in++++=in
the ^ati++++=the
text ^nn++++=text
or ^cc++++=or
below ^rb++++=below,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected
using ^xvbg+++xvbg+=using
enhanced ^vbd+++xvbn+=enhanced
chemiluminescence ^nn+nom+++=chemiluminescence
following ^vwbg+++xvbg+=following
incubation ^nn+nom+++=incubation
with ^in++++=with
either ^dtx++++=either
anti ^nn+++??+=anti-rabbit
- ^zz++++=EXTRAWORD
rabbit ^nn++++=EXTRAWORD
or ^cc++++=or
anti ^nn+++??+=anti-mouse
- ^zz++++=EXTRAWORD
mouse ^nn++++=EXTRAWORD
Hrp ^np+++??+=HRP
conjugates ^nns+nom+++=conjugates
( ^zz++++=(Bio-Rad
