Followed ^vbd+vprv++xvbn+=Followed
similar ^jj+atrb+++=similar
protocol ^nn++++=protocol
as ^in++++=as
Phase ^nn++++=Phase
diagram ^nn++++=diagram
data ^nns++++=data
collection ^nn+nom+++=collection
but ^cc++++=but
performed ^vbd+++xvbn+=performed
two ^cd++++=two-lentivirus
- ^zz++++=EXTRAWORD
lentivirus ^nns+++??+=EXTRAWORD
co ^nn++++=co-transduction
- ^zz++++=EXTRAWORD
transduction ^nn+nom+++=EXTRAWORD
( ^zz++++=(with
with ^in++++=EXTRAWORD
sspb ^nn+++??+=sspB-mCh-POI
- ^zz++++=EXTRAWORD
mch ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
poi ^nn+++??+=EXTRAWORD
and ^cc++++=and
non ^&fw++++=non-fluorescent
- ^zz++++=EXTRAWORD
fluorescent ^jj+atrb+++=EXTRAWORD
ilid ^nn+++??+=iLID-Fe
- ^zz++++=EXTRAWORD
fe ^&fo++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
typical ^jj+atrb+++=typical
Gfp ^np+++??+=GFP-tagged
- ^zz++++=EXTRAWORD
tagged ^vprf+++xvbn+=EXTRAWORD
version ^nn++++=version)
) ^zz++++=EXTRAWORD
on ^in++++=on
G3bp ^np+++??+=G3BP
Ko ^np+++??+=KO
cells ^nns++++=cells
stably ^jj++++=stably
expressing ^jj+++xvbg+=expressing
the ^ati++++=the
indicated ^jj+++xvbn+=indicated
Gfp ^np+++??+=GFP-tagged
- ^zz++++=EXTRAWORD
tagged ^vprf+++xvbn+=EXTRAWORD
protein ^nn++++=protein.
. ^zz++++=EXTRAWORD
72 ^cd++++=72
h ^zz++++=h
after ^in++++=after
infection ^nn+nom+++=infection,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells
were ^vbd+bed+aux++=were
passaged ^vpsv++agls+xvbnx+=passaged
at ^rb++++=at
1:8 ^cd++++=1:8
dilution ^nn+nom+++=dilution
factor ^nn++++=factor
onto ^in++++=onto
fibronectin ^nn+++??+=fibronectin-coated,
- ^zz++++=EXTRAWORD
coated ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
glass ^nn++++=glass
