Despite ^in++++=Despite
a ^at++++=a
Gbd ^np+++??+=GBD
2017 ^cd++++=2017
report ^vb++++=report
highlighting ^nn+++??+=highlighting
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
different ^jj+atrb+++=different
injuries ^nns++++=injuries
at ^in++++=at
the ^ati++++=the
national ^jj++++=national
and ^cc++++=and
subnational ^nn+++??+=subnational
levels ^nns++++=levels
and ^cc++++=and
the ^ati++++=the
change ^nn++++=change
in ^in++++=in
burden ^nn++++=burden
over ^in++++=over
time ^nn++++=time
in ^in++++=in
China ^np++++=China,
, ^zz++++=EXTRAWORD
detailed ^jj+atrb+++=detailed
information ^nn++++=information
on ^in++++=on
specific ^jj+atrb+++=specific
injury ^nn++++=injury
types ^nns++++=types
within ^in++++=within
different ^jj+atrb+++=different
populations ^nns++++=populations
in ^in++++=in
31 ^cd++++=31
provinces ^nns++++=provinces
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
provided ^vbd+vsua++xvbn+=provided.
. ^zz++++=EXTRAWORD
To ^in++++=To
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
first ^od++++=first
study ^vb++++=study
to ^in++++=to
systematically ^rb++++=systematically
and ^cc++++=and
comprehensively ^nn+++??+=comprehensively
describe ^vb++++=describe
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
falls ^nn++++=falls
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Daly ^np+++??+=DALY
rates ^nns++++=rates
among ^in++++=among
people ^nns++++=people
aged ^jj++++=aged
60 ^cd++++=60
years ^nns++++=years
and ^cc++++=and
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
by ^in++++=by
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
31 ^cd++++=31
provinces ^nns++++=provinces
in ^in++++=in
mainland ^nn++++=mainland
China ^np++++=China
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
trends ^nns++++=trends
in ^in++++=in
key ^jjb+atrb+++=key
outcome ^nn++++=outcome
indicators ^nns++++=indicators
over ^in++++=over
the ^ati++++=the
past ^jjb++++=past
three ^cd++++=three
decades ^nns++++=decades.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
study ^nn++++=study
provides ^vbz+vsua+++=provides
three ^cd++++=three
novel ^nn++++=novel
insights ^nns++++=insights.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
highlighted ^vbd+++xvbn+=highlighted
a ^at++++=a
substantial ^jj+atrb+++=substantial
increase ^nn++++=increase
of ^in++++=of
the ^ati++++=the
incidence ^nn++++=incidence
