Disease ^nn++++=Disease-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
excess ^nn++++=excess
expenditure ^nn++++=expenditure
was ^vbd+bedz+aux++=was
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
the ^ati++++=the
prevalent ^jj+atrb+++=prevalent
disease ^nn++++=disease
cases ^nns++++=cases
in ^in++++=in
each ^dt++++=each
annual ^jj+atrb+++=annual
cycle ^nn++++=cycle
of ^in++++=of
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
background ^nn++++=background
health ^nn++++=health
expenditure ^nn++++=expenditure
was ^vbd+bedz+aux++=was
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
all ^abn++++=all
alive ^jj+atrb+++=alive
simulants ^nns+nom+++=simulants.
. ^zz++++=EXTRAWORD
Health ^nn++++=Health
expenditure ^nn++++=expenditure
was ^vbd+bedz+aux++=was
tallied ^vpsv++agls+xvbnx+=tallied
up ^rp++++=up
under ^in++++=under
both ^abx++++=both
Bau ^np+++??+=BAU
and ^cc++++=and
intervention ^nn+nom+++=intervention
scenarios ^nns+++??+=scenarios,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
Bau ^np+++??+=BAU
and ^cc++++=and
intervention ^nn+nom+++=intervention
being ^vwbg+beg++xvbg+=being
that ^dt+dem+++=that
ascribed ^jj+++xvbn+=ascribed
to ^in++++=to
the ^ati++++=the
tax ^nn++++=tax
or ^cc++++=or
subsidy ^nn++++=subsidy
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
Calibration ^np+nom++??+=Calibration
and ^cc++++=and
validation ^nn+nom+++=validation
of ^in++++=of
the ^ati++++=the
epidemiological ^jj+atrb+++=epidemiological
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
pmslt ^np++++=PMSLT
is ^vbz+bez+aux++=is
described ^vpsv++agls+xvbn+=described
in ^in++++=in
a ^at++++=a
technical ^jj+atrb+++=technical
report ^nn++++=report.
. ^zz++++=EXTRAWORD
