Involvement ^np+nom++??+=Involvement
in ^in++++=in
state ^nn++++=state
care ^nn++++=care
by ^in++++=by
the ^ati++++=the
study ^nn++++=study
member ^nn++++=member
was ^vbd+bedz+aux++=was
reported ^vpsv++by+xvbnx+=reported
by ^in++++=by
the ^ati++++=the
parent ^nn++++=parent
or ^cc++++=or
carer ^jjr++++=carer
in ^in++++=in
the ^ati++++=the
first ^rb++++=first
three ^cd++++=three
childhood ^nn+nom+++=childhood
surveys ^nns++++=surveys
and ^cc++++=and
referenced ^jj+++xvbn+=referenced
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
period ^nn++++=period:
: ^zz++++=EXTRAWORD
ages ^nns++++=ages
7 ^zz++++=7,
, ^zz++++=EXTRAWORD
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
16 ^cd++++=16
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
1958 ^cd+date+++=1958
cohort ^nn++++=cohort
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ages ^nns++++=ages
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
16 ^cd++++=16
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
1970 ^cd+date+++=1970
cohort ^nn++++=cohort
study ^nn++++=study.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
created ^vbd+++xvbn+=created
a ^at++++=a
binary ^jj++++=binary
variable ^jj++++=variable
denoting ^xvbg+++xvbg+=denoting
care ^vb+vprv+++=care
mentioned ^vbd+vpub++xvbn+=mentioned
at ^rb++++=at
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
data ^nns++++=data
collection ^nn+nom+++=collection
points ^nns++++=points
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
basic ^jj+atrb+++=basic
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
the ^ati++++=the
standard ^jj+atrb+++=standard
covariates ^nns+nom+++=covariates
of ^in++++=of
sex ^nn++++=sex,
, ^zz++++=EXTRAWORD
parental ^jj+atrb+++=parental
socioeconomic ^nn++++=socioeconomic
position ^nn+nom+++=position
( ^zz++++=(as
as ^in++++=EXTRAWORD
indexed ^nn++++=indexed
by ^in++++=by
occupational ^jj+atrb+++=occupational
social ^jj+atrb+++=social
class ^nn++++=class),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
age ^nn++++=age
at ^in++++=at
birth ^nn++++=birth
of ^in++++=of
participant ^nn+nom+++=participant.
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
adjustments ^nns+nom+++=adjustments
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
adverse ^jj+atrb+++=adverse
childhood ^nn+nom+++=childhood
experience ^nn+nom+++=experience
( ^zz++++=(yes
yes ^uh++++=EXTRAWORD
or ^cc++++=or
no ^at++++=no)
) ^zz++++=EXTRAWORD
as ^cs+sub+++=as
denoted ^vpsv++by+xvbn+=denoted
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
characteristics ^nns++++=characteristics:
: ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
neglect ^nn++++=neglect;
