Although ^cs+con+++=Although
depression ^nn++++=depression
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
common ^jj+atrb+++=common
mental ^jj+atrb+++=mental
health ^nn++++=health
problem ^nn++++=problem
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
homeless ^jj+atrb+++=homeless
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
often ^rb++++=often
also ^rb++++=also
have ^vb+hv+vrb++=have
anxiety ^nn++++=anxiety
disorders ^nns+nom+++=disorders,
, ^zz++++=EXTRAWORD
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn+nom+++=disorder
( ^zz++++=(PTSD),
ptsd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
substance ^nn+nom+++=substance
use ^nn++++=use
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Center ^np+++??+=Center
on ^in++++=on
Family ^nn++++=Family
Homelessness ^nns+nom++??+=Homelessness,
, ^zz++++=EXTRAWORD
92 ^cd++++=92%
% ^zz++++=EXTRAWORD
of ^in++++=of
homeless ^jj+atrb+++=homeless
mothers ^nns+nom+++=mothers
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
physical ^jj+atrb+++=physical
or ^cc+phrs+++=or
sexual ^jj+atrb+++=sexual
abuse ^nn++++=abuse,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
in ^in++++=in
familial ^jj+atrb+++=familial
or ^cc+phrs+++=or
intimate ^jj+atrb+++=intimate
relationships ^nns+nom+++=relationships
( ^zz++++=(
10 ^cd++++=10
, ^zz++++=,
28 ^cd++++=28
, ^zz++++=,
30 ^cd++++=30
) ^zz++++=).
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
extensive ^jj+atrb+++=extensive
history ^nn++++=history
of ^in++++=of
domestic ^jj+atrb+++=domestic
violence ^nn+nom+++=violence
for ^in++++=for
moms ^nns+++??+=moms
who ^whp+rel+subj++=who
become ^vb++++=become
homeless ^jj++++=homeless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
given ^jj+++xvbn+=given
the ^ati++++=the
unspeakable ^jj+atrb+++=unspeakable
abuses ^nns++++=abuses
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
endured ^vprf+++xvbnx+=endured
often ^rb++++=often
throughout ^rb++++=throughout
their ^pp$+pp3+++=their
lifetimes ^nns+++??+=lifetimes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
not ^xnot++not++=not
surprising ^jj+++xvbg+=surprising
that ^tht+jcmp+++=that
their ^pp$+pp3+++=their
rates ^nns++++=rates
of ^in++++=of
Ptsd ^np+++??+=PTSD
are ^vb+ber+vrb++=are
higher ^jjr+pred+++=higher
than ^cs+sub+++=than
for ^in++++=for
women ^nns++++=women
in ^in++++=in
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
use ^nn++++=use
substances ^nns+nom+++=substances
to ^to++++=to
medicate ^nn+nom+++=medicate
their ^pp$+pp3+++=their
distress ^nns+nom+++=distress;
; ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
half ^abn++++=half
of ^in++++=of
adults ^nns++++=adults
experiencing ^vwbg+++xvbg+=experiencing
homelessness ^nns+nom+++=homelessness
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
suicidal ^jj+atrb+++=suicidal
thoughts ^nns++++=thoughts
or ^cc++++=or
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
suicide ^nn++++=suicide
( ^zz++++=(
19 ^cd++++=19
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
problems ^nns++++=problems
further ^jjb+atrb+++=further
compromise ^nn++++=compromise
their ^pp$+pp3+++=their
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
parent ^vb++++=parent
effectively ^rb+cnj+++=effectively,
, ^zz++++=EXTRAWORD
work ^nn++++=work
consistently ^rb+cnj+++=consistently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
access ^nn++++=access
appropriate ^jj+atrb+++=appropriate
services ^nns++++=services
for ^in++++=for
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
their ^pp$+pp3+++=their
children ^nns++++=children
( ^zz++++=(
28 ^cd++++=28
, ^zz++++=,
30 ^cd++++=30
) ^zz++++=).
. ^zz++++=EXTRAWORD
