Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wondered ^vbd+vprv++xvbn+=wondered
whether ^cs+who+++=whether
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
might ^md+pos+++=might
confer ^vb++++=confer
an ^at++++=an
adaptive ^jj+atrb+++=adaptive
advantage ^nn+nom+++=advantage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sub ^nn++++=sub-telomeres
- ^zz++++=EXTRAWORD
telomeres ^nns+nom++??+=EXTRAWORD
are ^vb+ber+vrb++=are
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
rapidly ^rb++++=rapidly
evolving ^vbg+++xvbg+=evolving
and ^cc++++=and
genetically ^rb++++=genetically
diverse ^jj+atrb+++=diverse
regions ^nns++++=regions
of ^in++++=of
the ^ati++++=the
S ^zz++++=S.
. ^zz++++=EXTRAWORD
cerevisiae ^nn+++??+=cerevisiae
genome ^nn+++??+=genome
( ^zz++++=(
Peter ^np++++=Peter
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
71 ^cd++++=71.
. ^zz++++=EXTRAWORD
Peter ^np++++=Peter,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
De ^&fw++++=De
Chiara ^np+++??+=Chiara,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Friedrich ^np++++=Friedrich,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Genome ^np+++??+=Genome
evolution ^nn+nom+++=evolution
across ^in+pl+++=across
1,011 ^cd++++=1,011
Saccharomyces ^np+++??+=Saccharomyces
cerevisiae ^nn+++??+=cerevisiae
isolates ^nns+nom+++=isolates
Nature ^nn++++=Nature.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
556 ^cd++++=556
: ^zz++++=:339-344
339 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
344 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(213)
213 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
harboring ^jj+atrb++xvbg+=harboring
numerous ^jj+atrb+++=numerous
stress ^nn++++=stress
response ^nn++++=response
elements ^nns+nom+++=elements
( ^zz++++=(
Brown ^np++++=Brown
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
8 ^zz++++=8.
. ^zz++++=EXTRAWORD
Brown ^jj++++=Brown,
, ^zz++++=EXTRAWORD
C.a ^np+++??+=C.A.
. ^zz++++=EXTRAWORD
Murray ^np++++=Murray,
, ^zz++++=EXTRAWORD
A.w ^np+++??+=A.W.
. ^zz++++=EXTRAWORD
Verstrepen ^np+++??+=Verstrepen,
, ^zz++++=EXTRAWORD
K.j ^np+++??+=K.J.
. ^zz++++=EXTRAWORD
Rapid ^jj+atrb+++=Rapid
expansion ^nn++++=expansion
and ^cc++++=and
functional ^jj+atrb+++=functional
divergence ^nn+nom+++=divergence
of ^in++++=of
subtelomeric ^nn++++=subtelomeric
gene ^np++++=gene
families ^nns++++=families
in ^in++++=in
yeasts ^nns+++??+=yeasts
Curr ^np+++??+=Curr.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
20 ^cd++++=20
: ^zz++++=:895-903
895 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
903 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(168)
168 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
mrna ^nn+++??+=mRNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
dataset ^nn+++??+=dataset
included ^vbd+++xvbn+=included
a ^at++++=a
number ^nn++++=number
of ^in++++=of
differentially ^rb++++=differentially
