Rna ^np+++??+=RNA-sequencing
- ^zz++++=EXTRAWORD
sequencing ^jj+atrb++xvbg+=EXTRAWORD
data ^nns++++=data
of ^in++++=of
Flag ^nn++++=FLAG-ZBP1
- ^zz++++=EXTRAWORD
zbp1 ^nn+++??+=EXTRAWORD
immunoprecipitates ^nns+nom+++=immunoprecipitates
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
were ^vbd+bed+aux++=were
deposited ^vpsv++agls+xvbnx+=deposited
in ^in++++=in
Bioproject ^np+++??+=BioProject:
: ^zz++++=EXTRAWORD
Prjna603378 ^np+++??+=PRJNA603378.
. ^zz++++=EXTRAWORD
All ^abn++++=All
data ^nns++++=data
produced ^vwbn+++xvbn+=produced
by ^in++++=by
this ^dt+dem+++=this
study ^nn++++=study
are ^vb+ber+aux++=are
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
manuscript ^nn++++=manuscript
or ^cc++++=or
available ^jj++++=available
from ^in++++=from
the ^ati++++=the
corresponding ^jj+atrb+++=corresponding
author ^nn++++=author
on ^in++++=on
request ^nn++++=request.
. ^zz++++=EXTRAWORD
