Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
run ^vb+++xvbn+=run-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
132 ^cd++++=132
patients ^nns++++=patients
received ^vbd+++xvbn+=received
elexacaftor ^nn+++??+=elexacaftor
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor
and ^cc++++=and
126 ^cd++++=126
received ^vbd+++xvbn+=received
active ^jj+atrb+++=active
control ^nn++++=control.
. ^zz++++=EXTRAWORD
Elexacaftor ^np+++??+=Elexacaftor
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
a ^at++++=a
percentage ^nn++++=percentage
of ^in++++=of
predicted ^vbn+vpub++xvbn+=predicted
Fev ^np+++??+=FEV
1 ^zz++++=1
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
higher ^jjr+pred+++=higher
by ^in++++=by
3.7 ^cd++++=3.7
percentage ^nn++++=percentage
points ^nns++++=points
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
confidence ^nn++++=confidence
interval ^nn++++=interval
[ ^zz++++=[CI],
ci ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2.8 ^cd++++=2.8
to ^to++++=to
4.6 ^cd++++=4.6)
) ^zz++++=EXTRAWORD
relative ^jj++++=relative
to ^in++++=to
baseline ^nn+++??+=baseline
and ^cc++++=and
higher ^jjr++++=higher
by ^in++++=by
3.5 ^cd++++=3.5
percentage ^nn++++=percentage
points ^nns++++=points
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
2.2 ^cd++++=2.2
to ^to++++=to
4.7 ^cd++++=4.7)
) ^zz++++=EXTRAWORD
relative ^jj++++=relative
to ^in++++=to
active ^jj+atrb+++=active
control ^nn++++=control
and ^cc++++=and
a ^at++++=a
