Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
a ^at++++=a
generic ^jj+atrb+++=generic
dimerization ^nn+nom+++=dimerization
domain ^nn++++=domain
cannot ^md+pos+not++=cannot
replace ^vb++++=replace
G3bp ^np+++??+=G3BP
s ^zz++++=s
Ntf2 ^np+++??+=NTF2,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
reasoned ^nn+vprv++xvbn+=reasoned
that ^tht+ncmp+++=that
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
bridge ^npl++++=bridge
( ^zz++++=(
v ^zz++++=v
= ^zz++++==2),
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
G3bp ^np+++??+=G3BP
dimer ^jjr+atrb+++=dimer
embodies ^nns+++??+=embodies
a ^at++++=a
particle ^nn++++=particle
of ^in++++=of
v ^zz++++=v
3 ^zz++++=3;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
refer ^vb++++=refer
to ^in++++=to
such ^abl++++=such
objects ^nns++++=objects
as ^ql++++=as
nodes ^nns++++=nodes
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
M ^zz++++=M).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
an ^at++++=an
endogenous ^jj+atrb+++=endogenous
G3bp ^np+++??+=G3BP
dimer ^jjr++++=dimer,
, ^zz++++=EXTRAWORD
such ^abl++++=such
valence ^nn+nom+++=valence
would ^md+prd+++=would
be ^vb+be+aux++=be
achieved ^vpsv++by+xvbnx+=achieved
by ^in++++=by
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
heterotypic ^nn++++=heterotypic
Ppi ^np+++??+=PPI
with ^in++++=with
the ^ati++++=the
Ntf2 ^np+++??+=NTF2
domains ^nns++++=domains,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn+nom+++=addition
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
Rbds ^np+++??+=RBDs.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
so ^ql++++=so,
, ^zz++++=EXTRAWORD
Ntf2 ^np+++??+=NTF2
might ^md+pos+++=might
serve ^vb++++=serve
as ^in++++=as
an ^at++++=an
interaction ^nn+nom+++=interaction
platform ^nn++++=platform
for ^in++++=for
additional ^jj+atrb+++=additional
Rna ^np+++??+=RNA-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
nodes ^nns++++=nodes
and ^cc++++=and
amplify ^vb++++=amplify
the ^ati++++=the
overall ^jjb+atrb+++=overall
valence ^nn+nom+++=valence
and ^cc+cls+++=and
hence ^rb+cnj+++=hence
Rna ^np+++??+=RNA-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
capacity ^nn+nom+++=capacity
of ^in++++=of
the ^ati++++=the
resulting ^jj+++xvbg+=resulting
complex ^jj++++=complex
( ^zz++++=(
Figure ^np++++=Figure
2 ^zz++++=2
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
screen ^nn++++=screen
for ^in++++=for
such ^abl++++=such
Sg ^np+++??+=SG
proteins ^nns+++??+=proteins,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
harnessed ^jj+atrb+++=harnessed
Ntf2 ^np+++??+=NTF2
s ^zz++++=s
dimerization ^nn+nom+++=dimerization
abilities ^nns+nom+++=abilities
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
a ^at++++=a
two ^cd++++=two-component
- ^zz++++=EXTRAWORD
component ^nn++++=EXTRAWORD
optogenetic ^jj+atrb+++=optogenetic
biotechnology ^nn+++??+=biotechnology
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
Corelets ^nns+nom++??+=Corelets
( ^zz++++=(
Bracha ^np++++=Bracha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
12 ^cd++++=12.
. ^zz++++=EXTRAWORD
Bracha ^np+++??+=Bracha,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Walls ^nns++++=Walls,
, ^zz++++=EXTRAWORD
M.t ^np+++??+=M.T.
. ^zz++++=EXTRAWORD
Wei ^np+++??+=Wei,
, ^zz++++=EXTRAWORD
M. ^np+++??+=M.-T.
- ^zz++++=EXTRAWORD
