Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Among ^in++++=Among
3561 ^cd++++=3561
patients ^nns++++=patients
( ^zz++++=(56.2%
56.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
were ^vbd+bed+vrb++=were
women ^nns++++=women),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
follow ^vb+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
complete ^jj+pred+++=complete
for ^in++++=for
3523 ^cd++++=3523
( ^zz++++=(98.9%).
98.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Major ^jj+atrb+++=Major
adverse ^jj+atrb+++=adverse
cardiovascular ^nn+++??+=cardiovascular
events ^nns++++=events
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
38 ^cd++++=38
of ^in++++=of
1808 ^cd+date+++=1808
patients ^nns++++=patients
( ^zz++++=(2.1%)
2.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Ct ^np+++??+=CT
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
52 ^cd++++=52
of ^in++++=of
1753 ^cd+date+++=1753
( ^zz++++=(3.0%)
3.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Ica ^np+++??+=ICA
group ^nn++++=group
( ^zz++++=(hazard
hazard ^nn++++=EXTRAWORD
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
0.70 ^nn+++??+=0.70;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
confidence ^nn++++=confidence
interval ^nn++++=interval
[ ^zz++++=[CI],
ci ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
0.46 ^nn+++??+=0.46
to ^to++++=to
1.07 ^cd++++=1.07;
; ^zz++++=EXTRAWORD
P=0.10 ^np+++??+=P=0.10).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Major ^jj+atrb+++=Major
procedure ^nn++++=procedure-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
complications ^nns++++=complications
occurred ^vbd+++xvbn+=occurred
in ^in++++=in
9 ^zz++++=9
patients ^nns++++=patients
( ^zz++++=(0.5%)
0.5 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Ct ^np+++??+=CT
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
33 ^cd++++=33
( ^zz++++=(1.9%)
1.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Ica ^np+++??+=ICA
group ^nn++++=group
( ^zz++++=(hazard
hazard ^nn++++=EXTRAWORD
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
0.26 ^nn+++??+=0.26;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
0.13 ^nn+++??+=0.13
to ^in++++=to
0.55 ^nn+++??+=0.55).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Angina ^nn++++=Angina
during ^in++++=during
the ^ati++++=the
final ^jj++++=final
4 ^zz++++=4
weeks ^nns++++=weeks
of ^in++++=of
follow ^vb+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
8.8 ^cd++++=8.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
Ct ^np+++??+=CT
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
7.5 ^cd++++=7.5%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
Ica ^np+++??+=ICA
group ^nn++++=group
( ^zz++++=(odds
odds ^nns++++=EXTRAWORD
ratio ^nn++++=ratio,
, ^zz++++=EXTRAWORD
1.17 ^cd++++=1.17;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
ci ^np++++=CI,
, ^zz++++=EXTRAWORD
0.92 ^nn++++=0.92
to ^to++++=to
1.48 ^cd++++=1.48).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
