Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
Hml ^np+++??+=HML
and ^cc++++=and
Hmr ^np+++??+=HMR
a ^at++++=a
fall ^nn++++=fall
within ^in++++=within
the ^ati++++=the
Hast ^np+++??+=HAST
domain ^nn++++=domain
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
observed ^vbd+++xvbn+=observed
activation ^nn+nom+++=activation
by ^in++++=by
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=],
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
wondered ^vbd+vprv++xvbn+=wondered
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
might ^md+pos+++=might
also ^rb++++=also
be ^vb+be+aux++=be
activated ^vpsv++agls+xvbnx+=activated.
. ^zz++++=EXTRAWORD
In ^in++++=In
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
increased ^vprf+++xvbn+=increased
transcript ^nn++++=transcript
abundance ^nn+nom+++=abundance
via ^in++++=via
mrna ^nn+++??+=mRNA-seq
- ^zz++++=EXTRAWORD
seq ^nn+++??+=EXTRAWORD
for ^in++++=for
both ^abx++++=both
Hml ^np+++??+=HML
and ^cc++++=and
Hmr ^np+++??+=HMR
a ^at++++=a
( ^zz++++=(
Figure ^np++++=Figure
5 ^zz++++=5
A ^at++++=A),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
driven ^vpsv++by+xvbnx+=driven
by ^in++++=by
Set3c ^np+++??+=Set3C-dependent
- ^zz++++=EXTRAWORD
dependent ^jj+atrb+++=EXTRAWORD
gene ^np++++=gene
activation ^nn+nom+++=activation
( ^zz++++=(
Figure ^np++++=Figure
S4 ^np+++??+=S4
A ^at++++=A).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
orthogonal ^jj+atrb+++=orthogonal
measure ^nn++++=measure,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
examined ^vbd+++xvbn+=examined
Hml ^np+++??+=HML
silencing ^nn++++=silencing
in ^in++++=in
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
cells ^nns++++=cells
by ^in++++=by
using ^xvbg+++xvbg+=using
a ^at++++=a
sensitive ^jj+atrb+++=sensitive
reporter ^nn+nom+++=reporter
( ^zz++++=(
Dodson ^np++++=Dodson
and ^cc++++=and
Rine ^np+++??+=Rine,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
22 ^cd++++=22.
. ^zz++++=EXTRAWORD
Dodson ^np+++??+=Dodson,
, ^zz++++=EXTRAWORD
A.e ^np+++??+=A.E.
. ^zz++++=EXTRAWORD
Rine ^np+++??+=Rine,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Heritable ^np+++??+=Heritable
capture ^nn++++=capture
of ^in++++=of
heterochromatin ^nn+++??+=heterochromatin
dynamics ^nn++++=dynamics
in ^in++++=in
Saccharomyces ^np+++??+=Saccharomyces
cerevisiae ^nn+++??+=cerevisiae
elife ^nn+++??+=eLife.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
4 ^zz++++=4
: ^zz++++=:e05007
e05007 ^nn+++??+=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(35)
35 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
where ^wrb+who+++=where
Cre ^np+++??+=Cre
is ^vbz+bez+aux++=is
placed ^vpsv++agls+xvbnx+=placed
within ^in++++=within
the ^ati++++=the
tightly ^rb++++=tightly
silenced ^xvbn+++xvbn+=silenced
Hml ^np+++??+=HML
. ^zz++++=.
Its ^pp$+it+++=Its
transient ^jj+atrb+++=transient
expression ^nn++++=expression
converts ^vbz++++=converts
a ^at++++=a
lox ^nn+++??+=lox-flanked
- ^zz++++=EXTRAWORD
flanked ^vbd+++xvbn+=EXTRAWORD
reporter ^nn+nom+++=reporter
locus ^nn++++=locus
from ^in++++=from
red ^jj+atrb+++=red
fluorescent ^jj+atrb+++=fluorescent
protein ^nn++++=protein
( ^zz++++=(RFP)
rfp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
green ^jj+atrb+++=green
fluorescent ^jj+atrb+++=fluorescent
protein ^nn++++=protein
( ^zz++++=(GFP)
gfp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
expression ^nn++++=expression
( ^zz++++=(
Figure ^np++++=Figure
5 ^zz++++=5
B ^zz++++=B),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
producing ^vbg+++xvbg+=producing
stable ^nn++++=stable
Gfp ^np+++??+=GFP
+ ^zz++++=+
colony ^nn++++=colony
sectors ^nns++++=sectors.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
assay ^nn++++=assay,
, ^zz++++=EXTRAWORD
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
colonies ^nns++++=colonies
exhibited ^vbd+++xvbn+=exhibited
increased ^vbd+++xvbn+=increased
sectoring ^jj+++xvbg+=sectoring
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.02 ^nn+++??+=0.02)
) ^zz++++=EXTRAWORD
( ^zz++++=(
Figures ^np++++=Figures
5 ^zz++++=5
C ^zz++++=C
and ^cc++++=and
5d ^cd++++=5D),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
albeit ^cs+sub+++=albeit
weaker ^jjr++++=weaker
in ^in++++=in
magnitude ^nn++++=magnitude
than ^in++++=than
loss ^nn++++=loss
of ^in++++=of
Sir ^npt++++=SIR
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir1 ^nn+++??+=sir1
and ^cc++++=and
sir2 ^nn+++??+=sir2
) ^zz++++=)
( ^zz++++=(
Figures ^np++++=Figures
5 ^zz++++=5
C ^zz++++=C
and ^cc++++=and
5d ^cd++++=5D),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
activation ^nn+nom+++=activation
of ^in++++=of
this ^dt+dem+++=this
locus ^nn++++=locus
might ^md+pos+++=might
be ^vb+be+vrb++=be
Sir ^npt++++=SIR
independent ^jj++++=independent.
. ^zz++++=EXTRAWORD
As ^in++++=As
an ^at++++=an
additional ^jj+atrb+++=additional
test ^nn++++=test,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
an ^at++++=an
established ^jj+atrb++xvbn+=established
reporter ^nn+nom+++=reporter
( ^zz++++=(
Huang ^np++++=Huang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
41 ^cd++++=41.
. ^zz++++=EXTRAWORD
Huang ^np+++??+=Huang,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Brito ^np+++??+=Brito,
, ^zz++++=EXTRAWORD
I.l ^np+++??+=I.L.
. ^zz++++=EXTRAWORD
Vill ^np+++??+=Vill
n ^zz++++=n,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Inhibition ^nn+nom+++=Inhibition
of ^in++++=of
homologous ^jj+atrb+++=homologous
recombination ^nn+nom+++=recombination
by ^in++++=by
a ^at++++=a
cohesin ^nn+++??+=cohesin-associated
- ^zz++++=EXTRAWORD
associated ^vbd+++xvbn+=EXTRAWORD
clamp ^nn++++=clamp
complex ^jj++++=complex
recruited ^jj+++xvbn+=recruited
to ^in++++=to
the ^ati++++=the
rdna ^nn+++??+=rDNA
recombination ^nn+nom+++=recombination
enhancer ^jjr++++=enhancer
Genes ^np+++??+=Genes
Dev ^np+++??+=Dev.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
20 ^cd++++=20
: ^zz++++=:2887-2901
2887 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2901 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(122)
122 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=)
to ^to++++=to
examine ^vbi++++=examine
expression ^nn++++=expression
of ^in++++=of
the ^ati++++=the
ribosomal ^nn+nom+++=ribosomal
Dna ^np+++??+=DNA
locus ^nn++++=locus,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
silenced ^vpsv++agls+xvbnx+=silenced
exclusively ^rb++++=exclusively
by ^in++++=by
Sir2 ^np+++??+=Sir2
( ^zz++++=(
Guarente ^np++++=Guarente,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
32 ^cd++++=32.
. ^zz++++=EXTRAWORD
Guarente ^np+++??+=Guarente,
, ^zz++++=EXTRAWORD
L ^zz++++=L.
