Given ^vbn+v++xvbn+=Given
Set3c ^np+++??+=Set3C
s ^zz++++=s
role ^nn++++=role
in ^in++++=in
gene ^np++++=gene
activation ^nn+nom+++=activation
( ^zz++++=(
Wang ^np++++=Wang
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
103 ^cd++++=103.
. ^zz++++=EXTRAWORD
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Kurdistani ^np+++??+=Kurdistani,
, ^zz++++=EXTRAWORD
S.k ^np+++??+=S.K.
. ^zz++++=EXTRAWORD
Grunstein ^np+++??+=Grunstein,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Requirement ^nn+nom+++=Requirement
of ^in++++=of
Hos2 ^np+++??+=Hos2
histone ^nn+++??+=histone
deacetylase ^nn+++??+=deacetylase
for ^in++++=for
gene ^np++++=gene
activity ^nn+nom+++=activity
in ^in++++=in
yeast ^nn++++=yeast
Science ^nn+nom+++=Science.
. ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
298 ^cd++++=298
: ^zz++++=:1412-1414
1412 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1414 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(191)
191 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=),
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
tested ^vbd+++xvbn+=tested
whether ^cs+who+++=whether
localization ^nn+nom+++=localization
of ^in++++=of
Set3c ^np+++??+=Set3C
components ^nns++++=components
to ^in++++=to
sub ^nn++++=sub-telomeres
- ^zz++++=EXTRAWORD
telomeres ^nns+nom++??+=EXTRAWORD
could ^md+pos+++=could
explain ^vb+vpub+++=explain
enrichment ^nn+nom+++=enrichment
for ^in++++=for
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
s ^zz++++=s
activation ^nn+nom+++=activation
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
In ^in++++=In
naive ^jj+atrb+++=naive
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
Snt1 ^np+++??+=Snt1
and ^cc++++=and
the ^ati++++=the
Set3c ^np+++??+=Set3C
catalytic ^jj+atrb+++=catalytic
subunit ^nn+++??+=subunit
Hos2 ^np+++??+=Hos2
weakly ^rb++++=weakly
bound ^jj+atrb++xvbn+=bound
sub ^nn++++=sub-telomeres
- ^zz++++=EXTRAWORD
telomeres ^nns+nom++??+=EXTRAWORD
( ^zz++++=(
Figures ^np++++=Figures
6 ^zz++++=6
A ^at++++=A
6c ^cd++++=6C
and ^cc++++=and
S5 ^np+++??+=S5
A ^at++++=A
S5d ^np+++??+=S5D),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
reports ^nns++++=reports
that ^tht+ncmp+++=that
Set3c ^np+++??+=Set3C
indirectly ^rb++++=indirectly
affects ^vbz++++=affects
sub ^nn++++=sub-telomeric
- ^zz++++=EXTRAWORD
telomeric ^jj+atrb+++=EXTRAWORD
loci ^nn+++??+=loci
( ^zz++++=(
Kim ^np++++=Kim
and ^cc++++=and
Buratowski ^np+++??+=Buratowski,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Pijnappel ^np+++??+=Pijnappel
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
49 ^cd++++=49.
. ^zz++++=EXTRAWORD
Kim ^np++++=Kim,
, ^zz++++=EXTRAWORD
T ^zz++++=T.
. ^zz++++=EXTRAWORD
Buratowski ^np+++??+=Buratowski,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Dimethylation ^np+nom++??+=Dimethylation
of ^in++++=of
H3k4 ^np+++??+=H3K4
by ^in++++=by
Set1 ^np+++??+=Set1
recruits ^nns++++=recruits
the ^ati++++=the
Set3 ^np+++??+=Set3
histone ^nn+++??+=histone
deacetylase ^nn+++??+=deacetylase
complex ^jj++++=complex
to ^to++++=to
5 ^zz++++=5
transcribed ^jj+atrb++xvbn+=transcribed
regions ^nns++++=regions
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
137 ^cd++++=137
: ^zz++++=:259-272
259 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
272 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(199)
199 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
73 ^cd++++=73.
. ^zz++++=EXTRAWORD
Pijnappel ^np+++??+=Pijnappel,
, ^zz++++=EXTRAWORD
W.w ^np+++??+=W.W.
. ^zz++++=EXTRAWORD
Schaft ^np+++??+=Schaft,
, ^zz++++=EXTRAWORD
D ^zz++++=D.
. ^zz++++=EXTRAWORD
Roguev ^np+++??+=Roguev,
, ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
S ^zz++++=S.
. ^zz++++=EXTRAWORD
cerevisiae ^nn+++??+=cerevisiae
Set3 ^np+++??+=SET3
complex ^jj++++=complex
includes ^vb++++=includes
two ^cd++++=two
histone ^nn+++??+=histone
deacetylases ^nns+++??+=deacetylases,
, ^zz++++=EXTRAWORD
Hos2 ^np+++??+=Hos2
and ^cc++++=and
Hst1 ^np+++??+=Hst1,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
a ^at++++=a
meiotic ^jj++++=meiotic-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
repressor ^nn++++=repressor
of ^in++++=of
the ^ati++++=the
sporulation ^nn+nom+++=sporulation
gene ^np++++=gene
program ^nn+++??+=program
Genes ^np+++??+=Genes
Dev ^np+++??+=Dev.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
15 ^cd++++=15
: ^zz++++=:2991-3004
2991 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
3004 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(0)
0 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
By ^in++++=By
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
in ^in++++=in
[ ^zz++++=[
Esi ^np+++??+=ESI
