The ^ati++++=The
diffusion ^nn++++=diffusion
properties ^nns++++=properties
of ^in++++=of
this ^dt+dem+++=this
compound ^nn++++=compound
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
analyzed ^nn+++??+=analyzed
in ^in++++=in
intact ^jj+atrb+++=intact
cells ^nns++++=cells
by ^in++++=by
applying ^xvbg+++xvbg+=applying
techniques ^nns++++=techniques
that ^tht+rel+subj++=that
can ^md+pos+++=can
report ^vb++++=report
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
diffusion ^nn++++=diffusion
speeds ^nns++++=speeds.
. ^zz++++=EXTRAWORD
Using ^vbg+++xvbg+=Using
a ^at++++=a
fluorescence ^nn++++=fluorescence
fluctuation ^nn++++=fluctuation
spectroscopy ^nn+++??+=spectroscopy
approach ^nn++++=approach
in ^in++++=in
combination ^nn++++=combination
with ^in++++=with
a ^at++++=a
confocal ^nn+++??+=confocal
microscope ^nn++++=microscope,
, ^zz++++=EXTRAWORD
fast ^rb++++=fast
line ^nn++++=line
scan ^nn+++??+=scan
imaging ^nn+++??+=imaging
of ^in++++=of
fluorescent ^jj+atrb+++=fluorescent
molecules ^nns++++=molecules
allows ^vbz++++=allows
precise ^jj+atrb+++=precise
extraction ^nn++++=extraction
of ^in++++=of
diffusion ^nn++++=diffusion
coefficients ^nns++++=coefficients
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
below ^rb++++=below
0.1 ^nn+++??+=0.1
m ^zz++++=m
2 ^zz++++=2
up ^rp++++=up
to ^to++++=to
hundreds ^cds++++=hundreds
of ^in++++=of
square ^nn++++=square
micrometers ^nns+++??+=micrometers
per ^nnu++++=per
second ^od++++=second
( ^zz++++=(
Ries ^np++++=Ries
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
39 ^cd++++=39.
. ^zz++++=EXTRAWORD
Ries ^np+++??+=Ries,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
Chiantia ^np+++??+=Chiantia,
, ^zz++++=EXTRAWORD
S ^zz++++=S.
. ^zz++++=EXTRAWORD
Schwille ^np+++??+=Schwille,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
Accurate ^jj+atrb+++=Accurate
determination ^nn++++=determination
of ^in++++=of
membrane ^nn++++=membrane
dynamics ^nn++++=dynamics
with ^in++++=with
line ^nn++++=line-scan
- ^zz++++=EXTRAWORD
scan ^nn+++??+=EXTRAWORD
Fcs ^np+++??+=FCS
Biophys ^np+++??+=Biophys.
. ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
96 ^cd++++=96
: ^zz++++=:1999-2008
1999 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
2008 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(148)
148 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
