Disaster ^nn++++=Disaster
research ^nn++++=research
emerged ^vbd+++xvbn+=emerged
within ^in++++=within
the ^ati++++=the
academic ^jj+atrb+++=academic
fields ^nns++++=fields
of ^in++++=of
geography ^nn++++=geography,
, ^zz++++=EXTRAWORD
sociology ^nn++++=sociology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
social ^jj+atrb+++=social
sciences ^nns++++=sciences
in ^in++++=in
the ^ati++++=the
1950s ^cd+date+++=1950s
and ^cc++++=and
1960s ^cd+date+++=1960s,
, ^zz++++=EXTRAWORD
focused ^j+++xvbn+=focused
mostly ^rb++++=mostly
on ^in++++=on
hazards ^nns++++=hazards
of ^in++++=of
the ^ati++++=the
natural ^jj+atrb+++=natural
environment ^nn++++=environment
( ^zz++++=(
33 ^cd++++=33
) ^zz++++=)
and ^cc++++=and
loss ^nn++++=loss
and ^cc++++=and
damages ^nns++++=damages
from ^in++++=from
extreme ^jj+atrb+++=extreme
weather ^nn++++=weather
events ^nns++++=events
( ^zz++++=(
92 ^cd++++=92
) ^zz++++=).
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
a ^at++++=a
paradigm ^nn++++=paradigm
shift ^nn++++=shift
took ^vbd+++xvbn+=took
place ^nn++++=place
changing ^vwbg+++xvbg+=changing
scholarly ^jj+atrb+++=scholarly
focus ^nn++++=focus
from ^in++++=from
studies ^nns++++=studies
of ^in++++=of
specific ^jj+atrb+++=specific
hazards ^nns++++=hazards
to ^in++++=to
attempts ^vb++++=attempts
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
dynamism ^nn++++=dynamism
and ^cc++++=and
context ^nn++++=context
of ^in++++=of
disaster ^nn++++=disaster
( ^zz++++=(
178 ^cd++++=178
) ^zz++++=).
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
work ^nn++++=work
tries ^vbz++++=tries
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
what ^wdt+who+whcl++=what
kinds ^nns++++=kinds
of ^in++++=of
risk ^nn++++=risk
and ^cc++++=and
distributional ^nn+++??+=distributional
impacts ^nns+++??+=impacts
are ^vb+ber+aux++=are
produced ^vpsv++agls+xvbnx+=produced
from ^in++++=from
interactions ^nns++++=interactions
between ^in++++=between
the ^ati++++=the
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
social ^jj+atrb+++=social
environments ^nns++++=environments
( ^zz++++=(
24 ^cd++++=24
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
conditions ^nns++++=conditions
that ^tht+rel+subj++=that
create ^vb++++=create
place ^nn++++=place-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
vulnerabilities ^nns+++??+=vulnerabilities
for ^in++++=for
communities ^nns++++=communities
( ^zz++++=(
45 ^cd++++=45
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ways ^nns++++=ways
to ^to++++=to
improve ^vbi++++=improve
the ^ati++++=the
capacities ^nns++++=capacities
of ^in++++=of
communities ^nns++++=communities
to ^to++++=to
cope ^vbi++++=cope
with ^in++++=with
disaster ^nn++++=disaster
( ^zz++++=(
44 ^cd++++=44
) ^zz++++=).
. ^zz++++=EXTRAWORD
