Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Of ^in++++=Of
140 ^cd++++=140
patients ^nns++++=patients
enrolled ^vbd+++xvbn+=enrolled,
, ^zz++++=EXTRAWORD
128 ^cd++++=128
received ^vbd+++xvbn+=received
ide ^nn+++??+=ide-cel.
- ^zz++++=EXTRAWORD
cel ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
median ^nn++++=median
follow ^vb+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
of ^in++++=of
13.3 ^cd++++=13.3
months ^nns++++=months,
, ^zz++++=EXTRAWORD
94 ^cd++++=94
of ^in++++=of
128 ^cd++++=128
patients ^nns++++=patients
( ^zz++++=(73%)
73 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
response ^nn++++=response,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
42 ^cd++++=42
of ^in++++=of
128 ^cd++++=128
( ^zz++++=(33%)
33 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
complete ^jj+atrb+++=complete
response ^nn++++=response
or ^cc++++=or
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Minimal ^jj+atrb+++=Minimal
residual ^jj+atrb+++=residual
disease ^nn++++=disease
( ^zz++++=(MRD)
mrd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
negative ^jj+atrb+++=negative
status ^nn++++=status
( ^zz++++=(<10
< ^zz++++=EXTRAWORD
10 ^cd++++=EXTRAWORD
nucleated ^jj+atrb++xvbn+=nucleated
cells ^nns++++=cells)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
confirmed ^vpsv++agls+xvbnx+=confirmed
in ^in++++=in
33 ^cd++++=33
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
of ^in++++=of
all ^rb++++=all
128 ^cd++++=128
patients ^nns++++=patients
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
treated ^vpsv++agls+xvbnx+=treated
and ^cc++++=and
79 ^cd++++=79%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
42 ^cd++++=42
patients ^nns++++=patients
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
a ^at++++=a
complete ^jj+atrb+++=complete
response ^nn++++=response
or ^cc++++=or
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
The ^ati++++=The
median ^jjb+atrb+++=median
progression ^nn++++=progression-free
- ^zz++++=EXTRAWORD
free ^jj+atrb+++=EXTRAWORD
survival ^nn+nom+++=survival
was ^vbd+bedz+vrb++=was
8.8 ^cd++++=8.8
months ^nns++++=months
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
confidence ^nn+nom+++=confidence
interval ^nn+nom+++=interval,
, ^zz++++=EXTRAWORD
5.6 ^cd++++=5.6
to ^to++++=to
11.6 ^cd++++=11.6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Common ^jj+atrb+++=Common
toxic ^jj+atrb+++=toxic
effects ^nns++++=effects
among ^in++++=among
the ^ati++++=the
128 ^cd++++=128
treated ^xvbn+++xvbn+=treated
patients ^nns++++=patients
included ^vbd+++xvbn+=included
neutropenia ^nn+++??+=neutropenia
in ^in++++=in
117 ^cd++++=117
patients ^nns++++=patients
( ^zz++++=(91%),
91% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anemia ^nn+++??+=anemia
in ^in++++=in
89 ^cd++++=89
( ^zz++++=(70%),
70% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thrombocytopenia ^nn+++??+=thrombocytopenia
in ^in++++=in
81 ^cd++++=81
( ^zz++++=(63%).
63% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cytokine ^np+++??+=Cytokine
release ^nn++++=release
syndrome ^nn++++=syndrome
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
107 ^cd++++=107
patients ^nns++++=patients
( ^zz++++=(84%),
84% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
7 ^zz++++=7
( ^zz++++=(5%)
5 ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
had ^vb+hv+vrb++=had
events ^nns++++=events
of ^in++++=of
grade ^nn++++=grade
3 ^zz++++=3
or ^cc++++=or
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
Neurotoxic ^np+++??+=Neurotoxic
effects ^nns++++=effects
developed ^vbd+++xvbn+=developed
in ^in++++=in
23 ^cd++++=23
patients ^nns++++=patients
( ^zz++++=(18%)
18 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
were ^vbd+bed+vrb++=were
of ^in++++=of
grade ^nn++++=grade
3 ^zz++++=3
in ^in++++=in
4 ^zz++++=4
patients ^nns++++=patients
( ^zz++++=(3%);
3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
no ^at++++=no
neurotoxic ^jj+atrb+++=neurotoxic
effects ^nns++++=effects
higher ^jjr++++=higher
than ^in++++=than
grade ^nn++++=grade
3 ^zz++++=3
occurred ^vprf+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
Cellular ^jj+atrb+++=Cellular
kinetic ^jj+atrb+++=kinetic
analysis ^nn++++=analysis
confirmed ^vwbn+vpub++xvbn+=confirmed
Car ^nn++++=CAR+
+ ^zz++++=EXTRAWORD
T ^zz++++=T
cells ^nns++++=cells
in ^in++++=in
29 ^cd++++=29
of ^in++++=of
49 ^cd++++=49
patients ^nns++++=patients
( ^zz++++=(59%)
59 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
6 ^zz++++=6
months ^nns++++=months
and ^cc++++=and
4 ^zz++++=4
of ^in++++=of
11 ^cd++++=11
patients ^nns++++=patients
( ^zz++++=(36%)
36 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
12 ^cd++++=12
months ^nns++++=months
after ^in++++=after
infusion ^nn++++=infusion.
. ^zz++++=EXTRAWORD
