These ^dt+dem+++=These
domains ^nns++++=domains
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
weakly ^rb++++=weakly
expressed ^jj+++xvbn+=expressed
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
susceptible ^jj++++=susceptible
to ^in++++=to
technical ^jj+atrb+++=technical
variation ^nn+nom+++=variation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thus ^rb+cnj+++=thus
performed ^vbd+++xvbn+=performed
a ^at++++=a
phenotypic ^jj+atrb+++=phenotypic
assay ^nn++++=assay
for ^in++++=for
sub ^nn++++=sub-telomeric
- ^zz++++=EXTRAWORD
telomeric ^jj+atrb+++=EXTRAWORD
repression ^nn+++??+=repression
( ^zz++++=(
Gottschling ^np+nom+++=Gottschling
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
30 ^cd++++=30.
. ^zz++++=EXTRAWORD
Gottschling ^np+nom++??+=Gottschling,
, ^zz++++=EXTRAWORD
D.e ^np+++??+=D.E.
. ^zz++++=EXTRAWORD
Aparicio ^np+++??+=Aparicio,
, ^zz++++=EXTRAWORD
O.m ^np+++??+=O.M.
. ^zz++++=EXTRAWORD
Billington ^np+++??+=Billington,
, ^zz++++=EXTRAWORD
B.l ^np+++??+=B.L.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Position ^nn+nom+++=Position
effect ^nn++++=effect
at ^rb++++=at
S ^zz++++=S.
. ^zz++++=EXTRAWORD
cerevisiae ^nn+++??+=cerevisiae
telomeres ^nns+nom++??+=telomeres:
: ^zz++++=EXTRAWORD
reversible ^jj+atrb+++=reversible
repression ^nn+++??+=repression
of ^in++++=of
Pol ^np+++??+=Pol
Ii ^np+++??+=II
transcription ^nn+nom+++=transcription
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990;
; ^zz++++=EXTRAWORD
63 ^cd++++=63
: ^zz++++=:751-762
751 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
762 ^cd++++=EXTRAWORD
Abstract ^jj+atrb+++=Abstract
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(1080)
1080 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
assay ^nn++++=assay,
, ^zz++++=EXTRAWORD
a ^at++++=a
Ura3 ^np+++??+=URA3
selectable ^jj+atrb+++=selectable
marker ^nn++++=marker
is ^vbz+bez+aux++=is
integrated ^vpsv++agls+xvbnx+=integrated
in ^in++++=in
a ^at++++=a
sub ^nn++++=sub-telomeric
- ^zz++++=EXTRAWORD
telomeric ^jj+atrb+++=EXTRAWORD
domain ^nn++++=domain
subject ^nn++++=subject
to ^in++++=to
position ^nn+nom+++=position
effect ^nn++++=effect
variegation ^nn+nom+++=variegation.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
with ^in++++=with
weaker ^jjr++++=weaker
the ^ati++++=the
repression ^nn+++??+=repression
of ^in++++=of
sub ^nn++++=sub-telomeres,
- ^zz++++=EXTRAWORD
telomeres ^nns+nom++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
greater ^jjr+atrb+++=greater
fraction ^nn+nom+++=fraction
of ^in++++=of
cells ^nns++++=cells
can ^md+pos+++=can
grow ^vb++++=grow
on ^in+ppvb+++=on
medium ^jjb+atrb+++=medium
lacking ^jj+atrb++xvbg+=lacking
uracil ^nn+++??+=uracil.
. ^zz++++=EXTRAWORD
[ ^zz++++=[
Esi ^np+++??+=ESI
+ ^zz++++=+
] ^zz++++=]
cells ^nns++++=cells
had ^vb+hv+vrb++=had
a ^at++++=a
nearly ^rb+down+++=nearly
2 ^zz++++=2-fold
- ^zz++++=EXTRAWORD
fold ^nn++++=EXTRAWORD
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
fraction ^nn+nom+++=fraction
of ^in++++=of
Ura ^np+++??+=Ura
+ ^zz++++=+
colonies ^nns++++=colonies
( ^zz++++=(
Figure ^np++++=Figure
4 ^zz++++=4
C ^zz++++=C),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
confirming ^vbg+vpub++xvbg+=confirming
that ^tht+vcmp+++=that
the ^ati++++=the
prion ^nn+++??+=prion
activates ^nns+nom+++=activates
otherwise ^rb+cnj+++=otherwise
repressed ^jj++++=repressed,
, ^zz++++=EXTRAWORD
sub ^nn++++=sub-telomeric
- ^zz++++=EXTRAWORD
telomeric ^jj+atrb+++=EXTRAWORD
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
