G3bp ^np+++??+=G3BP
Ko ^np+++??+=KO
cells ^nns++++=cells
stably ^jj++++=stably
expressing ^xvbg+++xvbg+=expressing
indicated ^vprf+++xvbn+=indicated
fusion ^nn++++=fusion
proteins ^nns+++??+=proteins
were ^vbd+bed+vrb++=were
first ^rb++++=first
globally ^rb++++=globally
activated ^jj+++xvbn+=activated
to ^to++++=to
trigger ^vbi++++=trigger
ilid ^nn+++??+=iLID-sspB
- ^zz++++=EXTRAWORD
sspb ^nn+++??+=EXTRAWORD
dimerization ^nn+nom+++=dimerization
by ^in++++=by
continuously ^rb++++=continuously
exposing ^vbg+++xvbg+=exposing
them ^pp3o+pp3+++=them
with ^in++++=with
the ^ati++++=the
488 ^cd++++=488
laser ^jjr++++=laser
for ^in++++=for
5 ^zz++++=5-min.
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Light ^nn++++=Light-activated
- ^zz++++=EXTRAWORD
activated ^jj+atrb++xvbn+=EXTRAWORD
condensates ^nns+nom+++=condensates
were ^vbd+bed+aux++=were
then ^rn+tm+splt++=then
bleached ^vpsv++agls+xvbnx+=bleached
in ^in++++=in
a ^at++++=a
1 ^zz++++=1
m ^zz++++=m
2 ^zz++++=2
region ^nn++++=region
with ^in++++=with
the ^ati++++=the
560 ^cd++++=560
laser ^jjr++++=laser
at ^in++++=at
high ^jj+atrb+++=high
power ^nn++++=power
to ^to+ncmp+++=to
quench ^vbi++++=quench
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
the ^ati++++=the
mcherry ^nn++++=mCherry-sspB
- ^zz++++=EXTRAWORD
sspb ^nn+++??+=EXTRAWORD
component ^nn++++=component
of ^in++++=of
the ^ati++++=the
condensate ^nn+nom+++=condensate.
. ^zz++++=EXTRAWORD
Fluorescence ^np+nom++??+=Fluorescence
recovery ^nn+nom+++=recovery
was ^vbd+bedz+aux++=was
monitored ^vpsv++agls+xvbnx+=monitored
while ^cs+sub+++=while
imaging ^jj+++xvbg+=imaging
both ^abx++++=both
mcherry ^nn++++=mCherry
and ^cc++++=and
mgfp ^nn+++??+=mGFP
channels ^nns++++=channels
at ^in++++=at
a ^at++++=a
frame ^nn++++=frame
interval ^nn+nom+++=interval
of ^in++++=of
6 ^zz++++=6
s ^zz++++=s.
. ^zz++++=EXTRAWORD
Fluorescence ^np+nom++??+=Fluorescence
was ^vbd+bedz+aux++=was
standardized ^vpsv++agls+xvbnx+=standardized
based ^vbd+++xvbn+=based
on ^in++++=on
a ^at++++=a
non ^&fw++++=non-bleached
- ^zz++++=EXTRAWORD
bleached ^jj+atrb++xvbn+=EXTRAWORD
droplet ^nn+nom+++=droplet
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
cell ^nn++++=cell
to ^in++++=to
control ^nn++++=control
for ^in++++=for
Frap ^np+++??+=FRAP-independent
- ^zz++++=EXTRAWORD
independent ^jj+atrb+++=EXTRAWORD
bleaching ^nn++++=bleaching.
. ^zz++++=EXTRAWORD
Fluorescence ^np+nom++??+=Fluorescence
intensity ^nn+nom+++=intensity
was ^vbd+bedz+aux++=was
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
initial ^jj+atrb+++=initial
image ^nn++++=image
for ^in++++=for
generating ^nn++++=generating
plots ^nns++++=plots.
. ^zz++++=EXTRAWORD
