Findings ^nns++++=Findings:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
study ^vb++++=study
included ^vbd+++xvbn+=included
189 ^cd++++=189
306 ^cd++++=306
Chinese ^jj+atrb+++=Chinese
adults ^nns++++=adults
from ^in++++=from
the ^ati++++=the
2015 ^cd++++=2015
survey ^nn++++=survey
( ^zz++++=(100
100 ^cd++++=EXTRAWORD
405 ^cd++++=405
[ ^zz++++=[53
53 ^cd++++=EXTRAWORD
0 ^zz++++=0%]
% ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
women ^nns++++=women;
; ^zz++++=EXTRAWORD
mean ^jj+atrb+++=mean
age ^nn++++=age
43 ^cd++++=43
6 ^zz++++=6
years ^nns++++=years
[ ^zz++++=[SD
sd ^nn++++=EXTRAWORD
14 ^cd++++=14
6 ^zz++++=6])
] ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
184 ^cd++++=184
475 ^cd++++=475
Chinese ^jj+atrb+++=Chinese
adults ^nns++++=adults
from ^in++++=from
the ^ati++++=the
2018 ^cd++++=2018
survey ^nn++++=survey
( ^zz++++=(102
102 ^cd++++=EXTRAWORD
373 ^cd++++=373
[ ^zz++++=[55
55 ^cd++++=EXTRAWORD
5 ^zz++++=5%]
% ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
women ^nns++++=women;
; ^zz++++=EXTRAWORD
mean ^jj+atrb+++=mean
age ^nn++++=age
43 ^cd++++=43
4 ^zz++++=4
years ^nns++++=years
[ ^zz++++=[13
13 ^cd++++=EXTRAWORD
9] ^cd++++=9]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
weighted ^jj+atrb++xvbn+=weighted
prevalence ^nn+++??+=prevalence
of ^in++++=of
past ^jjb++++=past
30 ^cd++++=30-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
e ^zz++++=e-cigarette
- ^zz++++=EXTRAWORD
cigarette ^nn++++=EXTRAWORD
use ^nn++++=use
among ^in++++=among
Chinese ^jj+atrb+++=Chinese
adults ^nns++++=adults
increased ^vbd+++xvbn+=increased
from ^in++++=from
1 ^zz++++=1
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
1 ^zz++++=1
1 ^zz++++=1
1 ^zz++++=1
5 ^zz++++=5%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
2015 ^cd++++=2015
16 ^cd++++=16
to ^to++++=to
1 ^zz++++=1
6 ^zz++++=6%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
1 ^zz++++=1
4 ^zz++++=4
1 ^zz++++=1
8 ^zz++++=8%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018
19 ^cd++++=19
( ^zz++++=(an
an ^at++++=EXTRAWORD
increase ^nn++++=increase
of ^in++++=of
0 ^zz++++=0
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
[ ^zz++++=[95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
0 ^zz++++=0
1 ^zz++++=1
0 ^zz++++=0
6 ^zz++++=6];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Rao ^np+++??+=Rao-Scott
- ^zz++++=EXTRAWORD
scott ^np++++=EXTRAWORD
2 ^zz++++=2
p=0 ^nn+++??+=p=0
0086 ^nn+++??+=0086).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
weighted ^vbd+++xvbn+=weighted
proportion ^nn++++=proportion
data ^nns++++=data,
, ^zz++++=EXTRAWORD
e ^zz++++=e-cigarette
- ^zz++++=EXTRAWORD
cigarette ^nn++++=EXTRAWORD
users ^nns++++=users
were ^vbd+bed+vrb++=were
predominantly ^rb++++=predominantly
men ^nns++++=men
( ^zz++++=(97
97 ^cd++++=EXTRAWORD
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
[ ^zz++++=[95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
96 ^cd++++=96
7 ^zz++++=7
98 ^cd++++=98
1 ^zz++++=1]
] ^zz++++=EXTRAWORD
in ^in++++=in
2015 ^cd++++=2015
16 ^cd++++=16
and ^cc++++=and
97 ^cd++++=97
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
[ ^zz++++=[95
95 ^cd++++=EXTRAWORD
4 ^zz++++=4
98 ^cd++++=98
6 ^zz++++=6]
] ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018
19 ^cd++++=19)
) ^zz++++=EXTRAWORD
and ^cc++++=and
current ^jj+atrb+++=current
conventional ^jj+atrb+++=conventional
smokers ^nns+++??+=smokers
( ^zz++++=(93
93 ^cd++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
[ ^zz++++=[90
90 ^cd++++=EXTRAWORD
7 ^zz++++=7
95 ^cd++++=95
2 ^zz++++=2]
] ^zz++++=EXTRAWORD
in ^in++++=in
2015 ^cd++++=2015
16 ^cd++++=16
and ^cc++++=and
96 ^cd++++=96
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
[ ^zz++++=[95
95 ^cd++++=EXTRAWORD
1 ^zz++++=1
97 ^cd++++=97
3 ^zz++++=3]
] ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018
19 ^cd++++=19).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
both ^abx++++=both
surveys ^nns++++=surveys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odds ^nns++++=odds
of ^in++++=of
e ^zz++++=e-cigarette
- ^zz++++=EXTRAWORD
cigarette ^nn++++=EXTRAWORD
use ^nn++++=use
were ^vbd+bed+aux++=were
significantly ^rb++splt++=significantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
obesity ^nn++++=obesity
( ^zz++++=(odds
odds ^nns++++=EXTRAWORD
ratio ^nn++++=ratio
1 ^zz++++=1
6 ^zz++++=6
[ ^zz++++=[95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
1 ^zz++++=1
3 ^zz++++=3
2 ^zz++++=2
1 ^zz++++=1];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p=0 ^nn+++??+=p=0
0007 ^nn+++??+=0007),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
awareness ^nn++++=awareness
of ^in++++=of
smoking ^xvbg+++xvbg+=smoking
hazards ^nns++++=hazards
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
2 ^zz++++=2
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
0 ^zz++++=0
1 ^zz++++=1
4 ^zz++++=4];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p=0 ^nn+++??+=p=0
022 ^nn+++??+=022),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smoking ^jj+atrb++xvbg+=smoking
status ^nn++++=status
( ^zz++++=(in
in ^in++++=EXTRAWORD
current ^jj+atrb+++=current
smokers ^nns+++??+=smokers,
, ^zz++++=EXTRAWORD
135 ^cd++++=135
2 ^zz++++=2
[ ^zz++++=[87
87 ^cd++++=EXTRAWORD
7 ^zz++++=7
208 ^cd++++=208
6 ^zz++++=6];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
former ^ap++++=former
smokers ^nns+++??+=smokers,
, ^zz++++=EXTRAWORD
33 ^cd++++=33
5 ^zz++++=5
[ ^zz++++=[21
21 ^cd++++=EXTRAWORD
3 ^zz++++=3
52 ^cd++++=52
7 ^zz++++=7];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p<0 ^nn+++??+=p<0
0001 ^nn+++??+=0001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
current ^jj+atrb+++=current
smokers ^nns+++??+=smokers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odds ^nns++++=odds
were ^vbd+bed+aux++=were
increased ^vpsv++agls+xvbnx+=increased
with ^in++++=with
daily ^jj+atrb+++=daily
cigarette ^nn++++=cigarette
consumption ^nn++++=consumption
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
1 ^zz++++=1
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
5 ^zz++++=5
2 ^zz++++=2
8 ^zz++++=8];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p<0 ^nn+++??+=p<0
0001 ^nn+++??+=0001),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
more ^rbr++++=more
than ^in++++=than
20 ^cd++++=20
cigarettes ^nns++++=cigarettes
per ^nnu++++=per
day ^nn++++=day
( ^zz++++=(1
1 ^zz++++=EXTRAWORD
8 ^zz++++=8
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
5 ^zz++++=5
2 ^zz++++=2
3 ^zz++++=3];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p<0 ^nn+++??+=p<0
0001 ^nn+++??+=0001),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
attempt ^nn++++=attempt
to ^to+ncmp+++=to
quit ^vbi++++=quit
smoking ^vbg+++xvbg+=smoking
( ^zz++++=(within
within ^in++++=EXTRAWORD
the ^ati++++=the
past ^jjb++++=past
12 ^cd++++=12
months ^nns++++=months,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
9 ^zz++++=9
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
5 ^zz++++=5
2 ^zz++++=2
4 ^zz++++=4];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^in++++=before
the ^ati++++=the
past ^jjb++++=past
12 ^cd++++=12
months ^nns++++=months,
, ^zz++++=EXTRAWORD
1 ^zz++++=1
5 ^zz++++=5
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
3 ^zz++++=3
1 ^zz++++=1
9 ^zz++++=9];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p<0 ^nn+++??+=p<0
0001 ^nn+++??+=0001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
never ^rb++++=never
smokers ^nns+++??+=smokers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odds ^nns++++=odds
were ^vbd+bed+aux++=were
increased ^vpsv++agls+xvbnx+=increased
in ^in++++=in
those ^dt+dem+++=those
aware ^jj++++=aware
of ^in++++=of
the ^ati++++=the
hazards ^nns++++=hazards
of ^in++++=of
smoking ^xvbg+++xvbg+=smoking
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
4 ^zz++++=4
[ ^zz++++=[1
1 ^zz++++=EXTRAWORD
2 ^zz++++=2
4 ^zz++++=4
7 ^zz++++=7];
] ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
p=0 ^nn++++=p=0
011 ^nn++++=011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
