Microinjections ^nns+nom++??+=Microinjections
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
an ^at++++=an
Eppendorf ^np+++??+=Eppendorf
Femtojet ^np+++??+=Femtojet
microinjector ^nn++++=microinjector
mounted ^vbd+++xvbn+=mounted
on ^in++++=on
an ^at++++=an
Axiovert ^np+++??+=Axiovert
200m ^cd++++=200M
Widefield ^np+++??+=Widefield
at ^in++++=at
60x ^cd++++=60x
magnification ^nn+nom+++=magnification.
. ^zz++++=EXTRAWORD
Microneedles ^np+++??+=Microneedles
were ^vbd+bed+aux++=were
pulled ^vpsv++agls+xvbnx+=pulled
from ^in++++=from
borosilicate ^nn+nom+++=borosilicate
glass ^nn++++=glass
with ^in++++=with
O.d ^np+++??+=O.D.
. ^zz++++=EXTRAWORD
1 ^zz++++=1
mm ^nnu++++=mm
and ^cc++++=and
I.d ^np+++??+=I.D.
. ^zz++++=EXTRAWORD
0.78 ^nn+++??+=0.78
mm ^nnu++++=mm
using ^vwbg+++xvbg+=using
Sutter ^np+++??+=Sutter
Instrument ^nn+nom+++=Instrument
Model ^nn++++=Model
P ^zz++++=P-97.
- ^zz++++=EXTRAWORD
97 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
U2os ^np+++??+=U2OS
Wt ^np+++??+=WT
cells ^nns++++=cells
stably ^jj+atrb+++=stably
expressing ^jj+++xvbg+=expressing
Gfp ^np+++??+=GFP-CAPRIN1
- ^zz++++=EXTRAWORD
caprin1 ^nn+++??+=EXTRAWORD
( ^zz++++=(
1 ^zz++++=1-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
M ^zz++++=M)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
plated ^vpsv++agls+xvbnx+=plated
on ^in++++=on
35 ^cd++++=35
mm ^nnu++++=mm
glass ^nn++++=glass
bottom ^jjb+atrb+++=bottom
dishes ^nns++++=dishes
( ^zz++++=(MatTek)
mattek ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Dmem ^np+++??+=DMEM
( ^zz++++=(GIBCO)
gibco ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
Fbs ^np+++??+=FBS
( ^zz++++=(Atlanta
atlanta ^nn+++??+=EXTRAWORD
Biological ^jj++++=Biological),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
supplemented ^j+++xvbn+=supplemented
with ^in++++=with
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
streptomycin ^nn+++??+=streptomycin
and ^cc++++=and
penicillin ^nn++++=penicillin,
, ^zz++++=EXTRAWORD
