Hk ^np+++??+=HK-2
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
cells ^nns++++=cells
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
supar ^nn+++??+=suPAR
had ^vb+hv+vrb++=had
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
energetic ^jj+atrb+++=energetic
demand ^nn++++=demand
under ^in++++=under
baseline ^nn+++??+=baseline
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
with ^in++++=with
increased ^jj+++xvbn+=increased
mitochondrial ^jj+atrb+++=mitochondrial
basal ^jj+atrb+++=basal
respiration ^nn+nom+++=respiration
and ^cc++++=and
Atp ^np+++??+=ATP
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
higher ^jjr+atrb+++=higher
maximum ^jj+atrb+++=maximum
rate ^nn++++=rate
of ^in++++=of
respiration ^nn+nom+++=respiration
and ^cc++++=and
spare ^jj+atrb+++=spare
respiratory ^jj+atrb+++=respiratory
capacity ^nn+nom+++=capacity
than ^in++++=than
cells ^nns++++=cells
exposed ^vbd+++xvbn+=exposed
to ^in++++=to
media ^nns++++=media
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
supar ^nn+++??+=suPAR-treated
- ^zz++++=EXTRAWORD
treated ^xvbn+++xvbn+=EXTRAWORD
cells ^nns++++=cells
also ^rb++++=also
had ^vb+hv+vrb++=had
a ^at++++=a
higher ^jjr+atrb+++=higher
rate ^nn++++=rate
of ^in++++=of
nonmitochondrial ^jj+atrb+++=nonmitochondrial
oxygen ^nn++++=oxygen
consumption ^nn+nom+++=consumption,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
active ^jj+atrb+++=active
involvement ^nn+nom+++=involvement
of ^in++++=of
other ^ap++++=other
cellular ^jj+atrb+++=cellular
oxygen ^nn++++=oxygen
consuming ^vwbg+++xvbg+=consuming
reactions ^nns+nom+++=reactions
in ^in++++=in
addition ^nn+nom+++=addition
to ^in++++=to
that ^cs+sub+++=that
catalyzed ^vpsv++by+xvbn+=catalyzed
by ^in++++=by
the ^ati++++=the
mitochondrial ^jj+atrb+++=mitochondrial
cytochrome ^nn+++??+=cytochrome
c ^zz++++=c
oxidase ^nn+++??+=oxidase.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oxygen ^nn++++=oxygen-consuming
- ^zz++++=EXTRAWORD
consuming ^vbg+++xvbg+=EXTRAWORD
rates ^nns++++=rates
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
proton ^nn+++??+=proton
leak ^nn++++=leak
across ^in+pl+++=across
the ^ati++++=the
mitochondrial ^jj+atrb+++=mitochondrial
membrane ^nn++++=membrane
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
between ^in++++=between
supar ^nn+++??+=suPAR-exposed
- ^zz++++=EXTRAWORD
exposed ^vwbn+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
nonexposed ^vwbn+++xvbn+=nonexposed
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
mitochondria ^nn+++??+=mitochondria
were ^vbd+bed+aux++=were
not ^xnot++not++=not
damaged ^vpsv++by+xvbn+=damaged
by ^in++++=by
supar ^nn+++??+=suPAR
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
mitochondrial ^jj+atrb+++=mitochondrial
integrity ^nn+nom+++=integrity
was ^vbd+bedz+aux++=was
maintained ^vpsv++agls+xvbnx+=maintained
after ^in++++=after
supar ^nn+++??+=suPAR
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
Superoxide ^np+++??+=Superoxide
generation ^nn+nom+++=generation
was ^vbd+bedz+aux++=was
increased ^vpsv++by+xvbnx+=increased
by ^in++++=by
a ^at++++=a
factor ^nn++++=factor
of ^in++++=of
2 ^zz++++=2
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
supar ^nn+++??+=suPAR,
, ^zz++++=EXTRAWORD
an ^at++++=an
effect ^nn++++=effect
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
completely ^rb+amp+splt++=completely
