In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
lockdowns ^nns+++??+=lockdowns
on ^in++++=on
overall ^jjb+atrb+++=overall
population ^nn+nom+++=population
mental ^jj+atrb+++=mental
health ^nn++++=health
were ^vbd+bed+vrb++=were
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
substantial ^jj+pred+++=substantial
and ^cc++++=and
clinically ^rb++++=clinically
relevant ^jj+atrb+++=relevant
effects ^nns++++=effects
for ^in++++=for
some ^dti++++=some
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
The ^ati++++=The
adverse ^jj+atrb+++=adverse
mental ^jj+atrb+++=mental
health ^nn++++=health
effects ^nns++++=effects
were ^vbd+bed+aux++=were
largely ^rb++splt++=largely
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
women ^nns++++=women
with ^in++++=with
dependent ^jj+atrb+++=dependent
children ^nns++++=children,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
the ^ati++++=the
additional ^jj++++=additional
workload ^jj+++??+=workload
associated ^jj+++xvbn+=associated
with ^in++++=with
working ^xvbg+++xvbg+=working
from ^in++++=from
home ^nr++++=home,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
caring ^vbg+++xvbg+=caring
for ^in+ppvb+++=for
and ^cc++++=and
educating ^jj+atrb++xvbg+=educating
children ^nns++++=children.
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lockdown ^nn++++=lockdown
exaggerated ^vbd+++xvbn+=exaggerated
existing ^vbg+++xvbg+=existing
inequalities ^nns+nom+++=inequalities
in ^in++++=in
the ^ati++++=the
responsibility ^nn+nom+++=responsibility
for ^in++++=for
household ^nn++++=household
and ^cc++++=and
caring ^vbg+++xvbg+=caring
duties ^nns++++=duties.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
mental ^jj+atrb+++=mental
health ^nn++++=health
effects ^nns++++=effects
should ^md+nec+++=should
be ^vb+be+aux++=be
accounted ^vpsv++agls+xvbnx+=accounted
for ^in+ppvb+++=for
when ^wrb+who+++=when
evaluating ^nvbg+++xvbg+=evaluating
the ^ati++++=the
merits ^nns++++=merits
and ^cc++++=and
costs ^nns++++=costs
of ^in++++=of
the ^ati++++=the
australian ^jj+atrb+++=Australian
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
policy ^nn++++=policy
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
