Interpretation ^nn+nom+++=Interpretation:
: ^zz++++=EXTRAWORD
A ^at++++=A
strategy ^nn++++=strategy
of ^in++++=of
standardised ^jj+atrb++xvbn+=standardised
evaluation ^nn+nom+++=evaluation,
, ^zz++++=EXTRAWORD
local ^jj+atrb+++=local
decision ^nn++++=decision
making ^vwbg+++xvbg+=making,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
implementation ^nn+nom+++=implementation
of ^in++++=of
health ^nn++++=health
systems ^nns++++=systems
strengthening ^vwbg+++xvbg+=strengthening
activities ^nns+nom+++=activities
can ^md+pos+++=can
provide ^vb+vsua+++=provide
a ^at++++=a
mechanism ^nn+nom+++=mechanism
for ^in++++=for
scale ^nn++++=scale-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
of ^in++++=of
tuberculosis ^nn++++=tuberculosis
prevention ^nn+nom+++=prevention,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
and ^cc++++=and
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
