Interpretation ^nn++++=Interpretation:
: ^zz++++=EXTRAWORD
Community ^nn++++=Community-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
for ^in++++=for
tuberculosis ^nn++++=tuberculosis
might ^md+pos+++=might
be ^vb+be+vrb++=be
effective ^jj+pred+++=effective
in ^in++++=in
changing ^xvbg+++xvbg+=changing
tuberculosis ^nn++++=tuberculosis
epidemiology ^nn+++??+=epidemiology
and ^cc++++=and
thereby ^rb++++=thereby
improving ^jj+atrb++xvbg+=improving
population ^nn++++=population
health ^nn++++=health
if ^cs+cnd+++=if
delivered ^vwbn+++xvbn+=delivered
with ^in++++=with
high ^jj+atrb+++=high
coverage ^nn++++=coverage
and ^cc++++=and
intensity ^nn++++=intensity.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
possible ^jj+atrb+++=possible,
, ^zz++++=EXTRAWORD
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
projects ^nns++++=projects
should ^md+nec+++=should
incorporate ^vb++++=incorporate
a ^at++++=a
well ^rb++++=well
designed ^vbd+++xvbn+=designed,
, ^zz++++=EXTRAWORD
robust ^jj+atrb+++=robust
evaluation ^nn++++=evaluation
to ^to++++=to
contribute ^vbi++++=contribute
to ^in++++=to
the ^ati++++=the
evidence ^nn++++=evidence
base ^nn++++=base
and ^cc++++=and
help ^nn++++=help
elucidate ^vb++++=elucidate
which ^whp+who+++=which
delivery ^nn++++=delivery
methods ^nns++++=methods
and ^cc++++=and
diagnostic ^nn++++=diagnostic
strategies ^nns++++=strategies
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
effective ^jj++++=effective.
. ^zz++++=EXTRAWORD
