Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
used ^vbd+++xvbn+=used
subgroup ^nn++++=subgroup
analysis ^nn++++=analysis
and ^cc++++=and
meta ^nn+++??+=meta-regression
- ^zz++++=EXTRAWORD
regression ^nn++++=EXTRAWORD
to ^to++++=to
evaluate ^nn+nom+++=evaluate
moderators ^nns++++=moderators
of ^in++++=of
individual ^jj+atrb+++=individual
study ^nn++++=study
estimates ^nns+nom+++=estimates
of ^in++++=of
the ^ati++++=the
lifetime ^nn++++=lifetime
prevalence ^nn+nom+++=prevalence
of ^in++++=of
Tbi ^np+++??+=TBI.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
univariable ^jj+atrb+++=univariable
meta ^nn+++??+=meta-regression
- ^zz++++=EXTRAWORD
regression ^nn++++=EXTRAWORD
to ^to++++=to
evaluate ^nn+nom+++=evaluate
unadjusted ^jj+atrb++xvbn+=unadjusted
effects ^nns++++=effects
in ^in++++=in
the ^ati++++=the
analyses ^nns++++=analyses
of ^in++++=of
lifetime ^nn++++=lifetime
prevalence ^nn+nom+++=prevalence
and ^cc++++=and
the ^ati++++=the
lifetime ^nn++++=lifetime
prevalence ^nn+nom+++=prevalence
of ^in++++=of
moderate ^jj+atrb+++=moderate
or ^cc+phrs+++=or
severe ^jj+atrb+++=severe
Tbi ^np+++??+=TBI,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
included ^vbd+++xvbn+=included
all ^abn++++=all
potential ^jj+atrb+++=potential
moderators ^nns++++=moderators,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
appropriate ^jj+atrb+++=appropriate
data ^nns++++=data
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
multivariable ^jj+atrb+++=multivariable
meta ^nn+++??+=meta-regression
- ^zz++++=EXTRAWORD
regression ^nn++++=EXTRAWORD
to ^to++++=to
evaluate ^nn+nom+++=evaluate
adjusted ^xvbn+++xvbn+=adjusted
effects ^nns++++=effects
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
lifetime ^nn++++=lifetime
prevalence ^nn+nom+++=prevalence.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
used ^vbd+++xvbn+=used
mixed ^xvbn+++xvbn+=mixed
effects ^nns++++=effects
models ^nns++++=models
for ^in++++=for
all ^abn++++=all
meta ^nn++++=meta-regression
- ^zz++++=EXTRAWORD
regression ^nn++++=EXTRAWORD
analyses ^nns++++=analyses.
. ^zz++++=EXTRAWORD
