Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
The ^ati++++=The
addition ^nn++++=addition
of ^in++++=of
brentuximab ^nn+++??+=brentuximab
vedotin ^nn+++??+=vedotin
to ^in++++=to
standard ^nn++++=standard
chemotherapy ^nn+++??+=chemotherapy
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
superior ^jj+atrb+++=superior
efficacy ^nn++++=efficacy,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
59 ^cd++++=59%
% ^zz++++=EXTRAWORD
lower ^jjr++++=lower
risk ^vb++++=risk
of ^in++++=of
an ^at++++=an
event ^nn++++=event
or ^cc++++=or
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
toxic ^jj+atrb+++=toxic
effects ^nns++++=effects
at ^in++++=at
3 ^zz++++=3
years ^nns++++=years.
. ^zz++++=EXTRAWORD
( ^zz++++=(Funded
funded ^nn+++??+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Institutes ^nns++++=Institutes
of ^in++++=of
Health ^nn++++=Health
and ^cc++++=and
others ^aps++++=others;
; ^zz++++=EXTRAWORD
ahod1331 ^np++++=AHOD1331
clinicaltrials.gov ^np++++=ClinicalTrials.gov
number ^nn++++=number,
, ^zz++++=EXTRAWORD
nct02166463 ^np++++=NCT02166463
. ^zz++++=.)
) ^zz++++=EXTRAWORD
