Co ^nn++++=Co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
any ^dti++++=any
type ^nn++++=type
of ^in++++=of
substance ^nn++++=substance
use ^nn++++=use
disorder ^nn++++=disorder
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
42 ^cd++++=42
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+++??+=prevalence
of ^in++++=of
current ^jj+atrb+++=current
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
substance ^nn++++=substance
use ^nn++++=use
disorders ^nns++++=disorders
was ^vbd+bedz+vrb++=was
9 ^zz++++=9
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
5 ^zz++++=5
6 ^zz++++=6
13 ^cd++++=13
3 ^zz++++=3;
; ^zz++++=EXTRAWORD
n=11 ^nn+++??+=n=11
133 ^cd++++=133;
; ^zz++++=EXTRAWORD
k=27 ^nn+++??+=k=27),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
1105 ^cd++++=1105
( ^zz++++=(51
51 ^cd++++=EXTRAWORD
6 ^zz++++=6%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
2143 ^cd++++=2143
people ^nns++++=people
with ^in++++=with
major ^jj+atrb+++=major
depression ^nn++++=depression
and ^cc++++=and
1105 ^cd++++=1105
( ^zz++++=(23
23 ^cd++++=EXTRAWORD
3 ^zz++++=3%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
4733 ^cd++++=4733
with ^in++++=with
substance ^nn++++=substance
use ^nn++++=use
disorders ^nns++++=disorders
( ^zz++++=(
figure ^nn++++=figure
3 ^zz++++=3
; ^zz++++=;
appendix ^nn++++=appendix
p ^zz++++=p
12 ^cd++++=12
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
pooled ^jj+atrb++xvbn+=pooled
prevalence ^nn+++??+=prevalence
of ^in++++=of
current ^jj+atrb+++=current
major ^jj+atrb+++=major
depression ^nn++++=depression
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
with ^in++++=with
alcohol ^nn++++=alcohol
use ^nn++++=use
disorders ^nns++++=disorders
was ^vbd+bedz+vrb++=was
5 ^zz++++=5
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
3 ^zz++++=3
1 ^zz++++=1
7 ^zz++++=7
7 ^zz++++=7;
; ^zz++++=EXTRAWORD
n=13 ^nn+++??+=n=13
528 ^cd++++=528;
; ^zz++++=EXTRAWORD
k=29 ^nn+++??+=k=29)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
pooled ^jj+atrb++xvbn+=pooled
prevalence ^nn+++??+=prevalence
of ^in++++=of
current ^jj+atrb+++=current
major ^jj+atrb+++=major
depression ^nn++++=depression
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
with ^in++++=with
drug ^nn++++=drug
use ^nn++++=use
disorders ^nns++++=disorders
was ^vbd+bedz+vrb++=was
5 ^zz++++=5
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
( ^zz++++=(2
2 ^zz++++=EXTRAWORD
7 ^zz++++=7
8 ^zz++++=8
9 ^zz++++=9;
; ^zz++++=EXTRAWORD
n=11 ^nn+++??+=n=11
991 ^cd++++=991;
; ^zz++++=EXTRAWORD
k=26 ^nn+++??+=k=26;
; ^zz++++=EXTRAWORD
figure ^nn++++=figure
3 ^zz++++=3
) ^zz++++=).
. ^zz++++=EXTRAWORD
Lifetime ^nn++++=Lifetime
prevalences ^nns+++??+=prevalences
of ^in++++=of
major ^jj+atrb+++=major
depression ^nn++++=depression
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
with ^in++++=with
substance ^nn++++=substance,
, ^zz++++=EXTRAWORD
alcohol ^nn++++=alcohol,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
drug ^nn++++=drug
use ^nn++++=use
disorders ^nns++++=disorders
were ^vbd+bed+vrb++=were
22 ^cd++++=22
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
16 ^cd++++=16
9 ^zz++++=9
28 ^cd++++=28
0 ^zz++++=0),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
12 ^cd++++=12
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
( ^zz++++=(7
7 ^zz++++=EXTRAWORD
9 ^zz++++=9
17 ^cd++++=17
8 ^zz++++=8),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
14 ^cd++++=14
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
( ^zz++++=(9
9 ^zz++++=EXTRAWORD
5 ^zz++++=5
19 ^cd++++=19
8 ^zz++++=8),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(
appendix ^nn++++=appendix
p ^zz++++=p
12 ^cd++++=12
) ^zz++++=).
. ^zz++++=EXTRAWORD
Significantly ^rb++++=Significantly
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
current ^nn++++=current
and ^cc++++=and
lifetime ^nn++++=lifetime
major ^jj+atrb+++=major
depression ^nn++++=depression
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
among ^in++++=among
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
criminal ^jj+atrb+++=criminal
justice ^nn++++=justice
system ^nn++++=system
with ^in++++=with
substance ^nn++++=substance,
, ^zz++++=EXTRAWORD
alcohol ^nn++++=alcohol,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
drug ^nn++++=drug
use ^nn++++=use
disorders ^nns++++=disorders
compared ^vbd+++xvbn+=compared
with ^in++++=with
individuals ^nns++++=individuals
in ^in++++=in
prison ^nn++++=prison
without ^in++++=without
