Inspired ^vpsv++by+xvbn+=Inspired
by ^in++++=by
Valenzuela ^np+++??+=Valenzuela
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011),
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
resolution ^nn++++=resolution
of ^in++++=of
zero ^cd++++=zero
and ^cc++++=and
pronominal ^nn+++??+=pronominal
forward ^rb++++=forward
and ^cc+phrs+++=and
backwards ^rb++++=backwards
anaphora ^nn+++??+=anaphora
in ^in++++=in
Spanish ^jj++++=Spanish
and ^cc++++=and
Portuguese ^nn++++=Portuguese
will ^md+prd+++=will
be ^vb+be+aux++=be
compared ^vpsv++agls+xvbnx+=compared
to ^to++++=to
non ^&fw++++=non-emphatic
- ^zz++++=EXTRAWORD
emphatic ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
emphatic ^jj+atrb+++=emphatic
pronominal ^nn+++??+=pronominal
forward ^rb++++=forward
and ^cc+phrs+++=and
backwards ^rb++++=backwards
anaphora ^nn+++??+=anaphora
in ^in++++=in
English ^nn++++=English.
. ^zz++++=EXTRAWORD
After ^in++++=After
our ^pp$+pp1+++=our
pilot ^nn++++=pilot-studies
- ^zz++++=EXTRAWORD
studies ^nns++++=EXTRAWORD
( ^zz++++=(Bruscato
bruscato ^nn+++??+=EXTRAWORD
& ^zz++++=&
Baptista ^np+++??+=Baptista,
, ^zz++++=EXTRAWORD
2022a ^cd++++=2022a,
, ^zz++++=EXTRAWORD
2022b ^cd++++=2022b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
expanded ^vprf+++xvbnx+=expanded
our ^pp$+pp1+++=our
research ^nn++++=research
to ^to++++=to
investigate ^vbi++++=investigate
how ^wrb+who+++=how
L1 ^np+++??+=L1
And ^cc++++=and
L2 ^np++++=L2
Speakers ^nns++++=speakers
Solve ^vb++++=solve
Ambiguity ^nn++++=ambiguity
In ^in++++=in
These ^dt+dem+++=these
Languages ^nns++++=languages.
 ^zz++++=EXTRAWORD
