Showing ^vbg+vprv++xvbg+=Showing
contact ^nn++++=contact
or ^cc++++=or
expressing ^jj+atrb++xvbg+=expressing
affection ^nn++++=affection
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
new ^jj+atrb+++=new
forms ^nns++++=forms
of ^in++++=of
masculinities ^nns+++??+=masculinities.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reinforcement ^nn++++=reinforcement
of ^in++++=of
an ^at++++=an
egalitarian ^jj+atrb+++=egalitarian
masculinity ^nn++++=masculinity
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
create ^vbi++++=create
new ^jj+atrb+++=new
family ^nn++++=family
models ^nns++++=models
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
far ^rb+pl+++=far
from ^in++++=from
the ^ati++++=the
classical ^jj+atrb+++=classical
model ^nn++++=model
of ^in++++=of
hegemonic ^nn+++??+=hegemonic
masculinity ^nn++++=masculinity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
present ^vb++++=present
quite ^rb++++=quite
often ^rb++++=often
in ^in++++=in
classical ^jj+atrb+++=classical
heterosexual ^jj+atrb+++=heterosexual
families ^nns++++=families.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
the ^ati++++=the
construal ^nn+++??+=construal
and ^cc++++=and
representation ^nn++++=representation
of ^in++++=of
new ^jj+atrb+++=new
masculinities ^nns+++??+=masculinities,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
heterosexual ^jj++++=heterosexual
and ^cc++++=and
in ^in++++=in
homosexual ^jj+atrb+++=homosexual
couples ^nns++++=couples,
, ^zz++++=EXTRAWORD
constitutes ^vbz++++=constitutes
a ^at++++=a
challenge ^nn++++=challenge
for ^in++++=for
the ^ati++++=the
patriarchal ^jj+atrb+++=patriarchal
system ^nn++++=system,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
mainly ^rb++splt++=mainly
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
a ^at++++=a
social ^jj+atrb+++=social
structure ^nn++++=structure
that ^tht+rel+subj++=that
gives ^vbz++++=gives
more ^rbr++++=more
power ^nn++++=power
and ^cc++++=and
privileges ^nns++++=privileges
to ^in++++=to
men ^nns++++=men
and ^cc++++=and
an ^at++++=an
ideology ^nn++++=ideology
that ^tht+rel+subj++=that
justifies ^vbz++++=justifies
the ^ati++++=the
said ^vpsv++agls+xvbn+=said
social ^jj+atrb+++=social
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
