Traditionally ^rb+cnj+++=Traditionally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
preference ^nn++++=preference
in ^in++++=in
English ^jj++++=English
to ^to++++=to
correlate ^vbi++++=correlate
the ^ati++++=the
pronoun ^nn++++=pronoun
in ^in++++=in
a ^at++++=a
subject ^nn++++=subject
position ^nn++++=position
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause
( ^zz++++=(Chambers
chambers ^np++++=EXTRAWORD
& ^zz++++=&
Smyth ^np+++??+=Smyth,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Crawley ^np++++=Crawley
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
seen ^nn++++=seen
in ^in++++=in
( ^zz++++=(6),
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
stressed ^vpsv++agls+xvbnx+=stressed.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
case ^nn++++=case,
, ^zz++++=EXTRAWORD
stressed ^jj+atrb++xvbn+=stressed
pronouns ^nns++++=pronouns
in ^in++++=in
subject ^nn++++=subject
position ^nn++++=position
would ^md+prd+++=would
impose ^vb++++=impose
a ^at++++=a
different ^jj++++=different
( ^zz++++=(disjoint)
disjoint ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
interpretation ^nn++++=interpretation
from ^in++++=from
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
clause ^nn++++=clause
( ^zz++++=(Luj
luj ^nn+++??+=EXTRAWORD
n ^zz++++=n,
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986;
; ^zz++++=EXTRAWORD
Smyth ^np+++??+=Smyth,
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
seen ^nn++++=seen
in ^in++++=in
( ^zz++++=(7).
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
behavior ^nn++++=behavior
would ^md+prd+++=would
be ^vb+be+vrb++=be
analogous ^jj+pred+++=analogous
to ^to++++=to
what ^wdt+who+++=what
speakers ^nns++++=speakers
of ^in++++=of
null ^jj+atrb+++=null
subject ^nn++++=subject
languages ^nns++++=languages
do ^vb+do+vrb++=do
regarding ^in++++=regarding
the ^ati++++=the
distinction ^nn++++=distinction
between ^in++++=between
using ^xvbg+++xvbg+=using
zero ^cd++++=zero
anaphora ^nn+++??+=anaphora
( ^zz++++=(null
null ^jj+atrb+++=EXTRAWORD
pronoun ^nn++++=pronoun)
) ^zz++++=EXTRAWORD
and ^cc++++=and
pronominal ^nn++++=pronominal
anaphora ^nn++++=anaphora
( ^zz++++=(unstressed
unstressed ^nn++++=EXTRAWORD
overt ^jj+atrb+++=overt
pronouns ^nns++++=pronouns).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
