This ^dt+dem+++=This
Master ^np++++=Master's
's ^$++++=EXTRAWORD
Program ^np+++??+=Program
in ^in++++=in
Ict ^np+++??+=ICT-mediated
- ^zz++++=EXTRAWORD
mediated ^nn+++??+=EXTRAWORD
Learning ^vwbg+vprv++xvbg+=Learning
Management ^nn++++=Management
proposal ^nn++++=proposal
stems ^nns++++=stems
from ^in++++=from
a ^at++++=a
study ^nn++++=study
of ^in++++=of
relevance ^nn++++=relevance
and ^cc++++=and
demand ^vb++++=demand
developed ^vpsv++by+xvbn+=developed
by ^in++++=by
the ^ati++++=the
Umayuk ^np+++??+=UMAYUK
research ^nn++++=research
group ^nn++++=group
of ^in++++=of
Unach ^np+++??+=UNACH.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
evidence ^vb++++=evidence
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
offer ^nn++++=offer
in ^in++++=in
Ecuador ^np+++??+=Ecuador
of ^in++++=of
master ^nn++++=master's
's ^$++++=EXTRAWORD
programs ^vbz+++??+=programs
aimed ^vwbn+++xvbn+=aimed
at ^rb++++=at
developing ^vbg+++xvbg+=developing
the ^ati++++=the
digital ^jj+atrb+++=digital
skills ^nns++++=skills
of ^in++++=of
teachers ^nns++++=teachers,
, ^zz++++=EXTRAWORD
even ^rb++++=even
less ^rbr++++=less
in ^in++++=in
the ^ati++++=the
online ^nn+++??+=online
mode ^nn++++=mode,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
the ^ati++++=the
scientific ^jj+atrb+++=scientific
literature ^nn++++=literature
mentions ^vbz++++=mentions
high ^jj+atrb+++=high
possibilities ^nns++++=possibilities
of ^in++++=of
guaranteeing ^jj++++=guaranteeing
formal ^jj++++=formal
learning ^jj+++xvbg+=learning
( ^zz++++=(Mart
mart ^np++++=EXTRAWORD
n ^zz++++=n,
, ^zz++++=EXTRAWORD
Mora ^np+++??+=Mora,
, ^zz++++=EXTRAWORD
A ^at++++=A
Orbe ^nn++++=orbe
 ^zz++++=&
Gonz ^np++++=Gonz
Lez ^nn++++=lez
017 ^cd++++=2017;
 ^zz++++=EXTRAWORD
Quiroz ^np++++=Quiroz
017 ^cd++++=2017).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
