Background ^nn++++=Background:
: ^zz++++=EXTRAWORD
A ^at++++=A
population ^nn++++=population
study ^nn++++=study
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
tool ^nn++++=tool
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
understand ^vb+vprv+++=understand
the ^ati++++=the
actual ^jj+atrb+++=actual
epidemiological ^nn+++??+=epidemiological
scenario ^nn++++=scenario
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
different ^jj+atrb+++=different
territories ^nns++++=territories,
, ^zz++++=EXTRAWORD
identify ^vb++++=identify
its ^pp$+it+++=its
magnitude ^nn++++=magnitude,
, ^zz++++=EXTRAWORD
understand ^vb+vprv+tht0++=understand
its ^pp$+it+++=its
transmission ^nn++++=transmission
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
demographic ^jj++++=demographic,
, ^zz++++=EXTRAWORD
geographical ^jj++++=geographical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
distribution ^nn++++=distribution.
. ^zz++++=EXTRAWORD
