As ^ql++++=As
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
stated ^vpsv++agls+xvbnx+=stated
in ^in++++=in
the ^ati++++=the
Introduction ^nn++++=Introduction,
, ^zz++++=EXTRAWORD
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
determine ^vbi++++=determine:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
how ^wrb+who+++=how
ambiguity ^nn++++=ambiguity
resolution ^nn++++=resolution
strategies ^nns+++??+=strategies
differ ^vb++++=differ
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
Spanish ^jj++++=Spanish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Portuguese ^nn++++=Portuguese;
; ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
how ^wrb+who+++=how
L2 ^np+++??+=L2
learners ^nns++++=learners
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
their ^pp$+pp3+++=their
L1 ^np+++??+=L1
regarding ^in++++=regarding
ambiguity ^nn++++=ambiguity
resolution ^nn++++=resolution;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whether ^cs+who+++=whether
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
main ^jjb+atrb+++=main
and ^cc+phrs+++=and
subordinate ^jj+atrb+++=subordinate
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
( ^zz++++=(d)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
salience ^nn++++=salience
of ^in++++=of
the ^ati++++=the
anaphor ^nn+++??+=anaphor,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
( ^zz++++=(e)
e ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
lexical ^jj+atrb+++=lexical
choice ^nn++++=choice
of ^in++++=of
verbs ^nns++++=verbs
may ^md+pos+++=may
affect ^vb++++=affect
this ^dt+dem+++=this
process ^nn++++=process.
. ^zz++++=EXTRAWORD
