Human ^jj+atrb+++=Human
agent ^nn++++=agent
population ^nn++++=population
were ^vbd+bed+aux++=were
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
five ^cd++++=five
age ^nn++++=age
ranges ^nns++++=ranges:
: ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
people ^nns++++=people,
, ^zz++++=EXTRAWORD
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
older ^jjr+atrb+++=older
adults ^nns++++=adults
and ^cc++++=and
elderly ^jj+atrb+++=elderly
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Transition ^nn++++=Transition
constants ^nns++++=constants
between ^in++++=between
epidemiological ^nn+++??+=epidemiological
compartments ^nns++++=compartments
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2
are ^vb+ber+vrb++=are
specific ^jj+pred+++=specific
to ^in++++=to
each ^dt++++=each
age ^nn++++=age
range ^nn++++=range,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+aux++=are
shown ^vprf+++xvbn+=shown
in ^in++++=in
