Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Microsoft ^np+++??+=Microsoft
Excel ^np+++??+=Excel
spreadsheets ^nns+++??+=spreadsheets
with ^in++++=with
the ^ati++++=the
participants ^nns++++=participants'
' ^zz++++=EXTRAWORD
data ^nns++++=data
and ^cc++++=and
test ^nn++++=test
results ^nns++++=results
were ^vbd+bed+vrb++=were
forwarded ^nn+++??+=forwarded
to ^in++++=to
the ^ati++++=the
Mariana ^np+++??+=Mariana
and ^cc++++=and
Ouro ^np+++??+=Ouro
Preto ^np++++=Preto
Health ^nn++++=Health
Secretariats ^np++++=Secretariats
For ^in++++=for
Case ^nn++++=case
Monitoring ^nn++++=monitoring
And ^cc++++=and
Management ^nn++++=management.
 ^zz++++=EXTRAWORD
