On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
technological ^jj+atrb+++=technological
trends ^nns++++=trends
have ^vb+hv+aux++=have
emerged ^vprf+++xvbnx+=emerged
that ^dt+pdem+++=that
can ^md+pos+++=can
also ^rb++splt++=also
meet ^vb++++=meet
educational ^jj+atrb+++=educational
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
strengthening ^xvbg+++xvbg+=strengthening
social ^jj+atrb+++=social
inclusion ^nn++++=inclusion,
, ^zz++++=EXTRAWORD
among ^in++++=among
which ^whp+rel+pied++=which
Casta ^np+++??+=Casta
eda ^nn+++??+=eda,
, ^zz++++=EXTRAWORD
Prendes ^np+++??+=Prendes
& ^zz++++=&
Guti ^np+++??+=Guti
rrez ^nn+++??+=rrez
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mention ^vb+vpub+++=mention
are ^vb+ber+vrb++=are:
: ^zz++++=EXTRAWORD
Mooc ^np+++??+=MOOC,
, ^zz++++=EXTRAWORD
webquest ^nn+++??+=webquest,
, ^zz++++=EXTRAWORD
gamification ^nn+++??+=gamification,
, ^zz++++=EXTRAWORD
reality ^nn++++=reality
augmented ^jj+atrb+++=augmented,
, ^zz++++=EXTRAWORD
personal ^jj+atrb+++=personal
learning ^nn++++=learning
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others.
. ^zz++++=EXTRAWORD
