This ^dt+dem+++=This
picturebook ^nn+++??+=picturebook
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
chosen ^vpsv++agls+xvbnx+=chosen
for ^in++++=for
two ^cd++++=two
reasons ^nns++++=reasons:
: ^zz++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
simple ^jj+atrb+++=simple
plot ^np++++=plot
because ^cs+cos+++=because
it ^pp3+it+++=it
narrates ^vbz+++??+=narrates
the ^ati++++=the
different ^jj+atrb+++=different
things ^nns++++=things
that ^tht+rel+obj++=that
a ^at++++=a
child ^nn++++=child
called ^vbd+++xvbn+=called
Emily ^np+++??+=Emily
does ^vbz+doz+vrb++=does
with ^in++++=with
her ^pp$+pp3+++=her
two ^cd++++=two
fathers ^nns++++=fathers
in ^in++++=in
this ^dt+dem+++=this
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
the ^ati++++=the
actions ^nns++++=actions
narrated ^nn+++??+=narrated
in ^in++++=in
the ^ati++++=the
book ^nn++++=book
are ^vb+ber+vrb++=are
not ^xnot++not++=not
specific ^jj++++=specific
to ^in++++=to
gay ^jj+atrb+++=gay
families ^nns++++=families
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
the ^ati++++=the
book ^nn++++=book
shows ^vbz+vprv+++=shows
a ^at++++=a
symmetrical ^jj+atrb+++=symmetrical
representation ^nn++++=representation
of ^in++++=of
the ^ati++++=the
fathers ^nns++++=fathers,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
both ^abx++++=both
have ^vb+hv+vrb++=have
equal ^jj+atrb+++=equal
importance ^nn++++=importance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
actions ^nns++++=actions
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
with ^in++++=with
each ^ppls++++=each
father ^npt++++=father
in ^in++++=in
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
