Sociodemographic ^np+++??+=Sociodemographic
and ^cc++++=and
economic ^jj+atrb+++=economic
variables ^nns++++=variables:
: ^zz++++=EXTRAWORD
race ^nn++++=race/color,
marital ^jj+atrb+++=marital
status ^nn++++=status,
, ^zz++++=EXTRAWORD
filiation ^nn+++??+=filiation,
, ^zz++++=EXTRAWORD
education ^nn++++=education,
, ^zz++++=EXTRAWORD
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
family ^nn++++=family
income ^nn++++=income
prior ^rb++++=prior
to ^to++++=to
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
