Reflect ^vb+vprv+++=Reflect
on ^in++++=on
the ^ati++++=the
potential ^nn++++=potential
and ^cc++++=and
didactic ^jj+atrb++??+=didactic
usefulness ^nn++++=usefulness
of ^in++++=of
Ict ^np+++??+=ICT
and ^cc++++=and
Lkt ^np+++??+=LKT
( ^zz++++=(Learning
learning ^vbg+vprv++xvbg+=EXTRAWORD
and ^cc++++=and
knowledge ^nn++++=Knowledge
technologies ^np++++=Technologies)
) ^zz++++=EXTRAWORD
resources ^nns++++=resources
in ^in++++=in
the ^ati++++=the
classroom ^nn++++=classroom.
. ^zz++++=EXTRAWORD
