[ ^zz++++=[I
i ^pp1a+pp1+++=EXTRAWORD
moved ^vbd+++xvbnx+=moved
to ^in++++=to
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where]
] ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
basically ^rb+down+++=basically
worked ^vbd+++xvbn+=worked
with ^in++++=with
human ^jj+atrb+++=human
resources ^nns++++=resources
issues ^nns++++=issues
that ^tht+rel+subj++=that
would ^md+prd+++=would
come ^vb++++=come
up ^rp++++=up,
, ^zz++++=EXTRAWORD
decisions ^nns++++=decisions
on ^in++++=on
the ^ati++++=the
training ^nn++++=training
of ^in++++=of
civil ^jj+atrb+++=civil
servants ^nns++++=servants,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
bureaucratic ^jj+atrb+++=bureaucratic
and ^cc+phrs+++=and
administrative ^jj+atrb+++=administrative
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
9 ^zz++++=9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
