Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
to ^to++++=to
determine ^vbi++++=determine
how ^wrb+who+++=how
gender ^nn++++=gender
affects ^vbz++++=affects
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
emojis ^nns+++??+=emojis,
, ^zz++++=EXTRAWORD
four ^cd++++=four
independent ^jj+atrb+++=independent
samples ^nns++++=samples
t ^zz++++=t
tests ^nns++++=tests
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
with ^in++++=with
gender ^nn++++=gender
as ^in++++=as
the ^ati++++=the
Iv ^np+++??+=IV
and ^cc++++=and
emoji ^nn+++??+=emoji
use ^nn++++=use
for ^in++++=for
each ^dt++++=each
type ^nn++++=type
of ^in++++=of
presence ^nn++++=presence
as ^in++++=as
the ^ati++++=the
Dv ^np+++??+=DV.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
61 ^cd++++=61
survey ^nn++++=survey
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
39 ^cd++++=39
were ^vbd+bed+vrb++=were
females ^nns++++=females
and ^cc++++=and
21 ^cd++++=21
were ^vbd+bed+vrb++=were
males ^nns++++=males,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
participant ^nn++++=participant
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify.
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
cognitive ^nn+++??+=cognitive
presence ^nn++++=presence,
, ^zz++++=EXTRAWORD
female ^nn++++=female
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
10.13 ^cd++++=10.13,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
14.30 ^cd++++=14.30)
) ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
emojis ^nns+++??+=emojis
to ^to++++=to
represent ^vbi++++=represent
cognitive ^nn+++??+=cognitive
presence ^nn++++=presence
slightly ^rb+down+++=slightly
more ^ql++++=more
than ^cs+sub+++=than
male ^jj+atrb+++=male
participants ^nns++++=participants
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
8.00 ^cd++++=8.00,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
8.38 ^cd++++=8.38),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
significantly ^rb+cnj+++=significantly,
, ^zz++++=EXTRAWORD
t(58 ^nn+++??+=t(58)
) ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.63,
63 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.53
53 ^cd++++=EXTRAWORD
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
tables ^nns++++=Tables
8 ^zz++++=8
and ^cc++++=and
9 ^zz++++=9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
