Reference ^nn++++=Reference
values ^nns++++=values
from ^in++++=from
the ^ati++++=the
normal ^jj+atrb+++=normal
population ^nn++++=population
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^rp+pl+++=EXTRAWORD
point ^nn++++=point
greater ^jjr++++=greater
than ^in++++=than
2 ^zz++++=2
considered ^vbd+vprv++xvbn+=considered
an ^at++++=an
alteration ^nn++++=alteration
in ^in++++=in
the ^ati++++=the
lf ^np++++=LF
hf ^np++++=HF
ratio ^nn++++=ratio.
. ^zz++++=EXTRAWORD
( ^zz++++=(5.6)
5.6 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
