Interventions ^np+++??+=Interventions
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
at ^rb++++=at
universities38,42,45,46 ^nn+++??+=universities38,42,45,46,
, ^zz++++=EXTRAWORD
hospitals35 ^nn+++??+=hospitals35
37,43,47,51 ^cd++++=37,43,47,51,
, ^zz++++=EXTRAWORD
at ^rb++++=at
home41,49,50 ^nn+++??+=home41,49,50,
, ^zz++++=EXTRAWORD
at ^in++++=at
physiotherapy ^nn++++=physiotherapy
clinics ^nns++++=clinics
and ^cc++++=and
at ^rb++++=at
home44 ^nn+++??+=home44;
; ^zz++++=EXTRAWORD
city ^nn++++=city
hall ^npl++++=hall
exercise ^nn++++=exercise
rooms40 ^nn+++??+=rooms40,
, ^zz++++=EXTRAWORD
research ^nn++++=research
center,39 ^nn+++??+=center,39
at ^rb++++=at
home ^nr++++=home
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
support ^nn++++=support
groups48 ^nn++++=groups48.
. ^zz++++=EXTRAWORD
