Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
test ^vb++++=test
the ^ati++++=the
model ^nn++++=model
against ^in++++=against
habits ^nns++++=habits
verified ^vwbn+vpub++xvbn+=verified
for ^in++++=for
Argentine ^np+++??+=Argentine
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
a ^at++++=a
simulation ^nn++++=simulation
was ^vbd+bedz+aux++=was
run ^vpsv++agls+xvbnx+=run
with ^in++++=with
actual ^jj+atrb+++=actual
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
district ^nn++++=district
of ^in++++=of
Loncopu ^np+++??+=Loncopu
, ^zz++++=,
Neuqu ^np+++??+=Neuqu
n ^zz++++=n
province10 ^nn+++??+=province10
11 ^cd++++=11.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
implementation ^nn++++=implementation
not ^xnot++not++=not
only ^rb+down+++=only
local ^jj+atrb+++=local
habits ^nns++++=habits
were ^vbd+bed+aux++=were
considered ^vpsv++agls+xvbnx+=considered,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
a ^at++++=a
phase ^nn++++=phase
change ^nn++++=change
of ^in++++=of
Pmsi ^np+++??+=PMSI.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
reported ^jj+atrb++xvbn+=reported
daily ^jj+atrb+++=daily
case ^nn++++=case
data ^nns++++=data
for ^in++++=for
this ^dt+dem+++=this
city ^nn++++=city
are ^vb+ber+vrb++=are
compatible ^jj+pred+++=compatible
with ^in++++=with
the ^ati++++=the
model ^nn++++=model
outputs ^nns+++??+=outputs,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
information ^nn++++=information
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
a ^at++++=a
measure ^nn++++=measure
of ^in++++=of
Abcsim ^np+++??+=AbCSim
validity ^nn++++=validity,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
defining ^vbg+++xvbg+=defining
the ^ati++++=the
values ^nns++++=values
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
