Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
submodel ^nn+++??+=submodel
takes ^vbz++++=takes
into ^in++++=into
account ^nn++++=account
an ^at++++=an
attribute ^nn++++=attribute
of ^in++++=of
each ^dt++++=each
Ha ^uh++++=Ha
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
observance ^nn++++=observance
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
attribute ^nn++++=attribute,
, ^zz++++=EXTRAWORD
distancing ^nn+++??+=distancing,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
two ^cd++++=two
possible ^jj+atrb+++=possible
values ^nns++++=values:
: ^zz++++=EXTRAWORD
high ^jj++++=high
or ^cc+phrs+++=or
low ^jj++++=low.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
event ^nn++++=event
that ^tht+rel+++=that
Ha ^uh++++=Ha
has ^vbz+hvz+vrb++=has
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
observance ^nn++++=observance,
, ^zz++++=EXTRAWORD
before ^in++++=before
taking ^xvbg+++xvbg+=taking
any ^dti++++=any
position ^nn++++=position
in ^in++++=in
the ^ati++++=the
geographical ^jj+atrb+++=geographical
grid ^nn++++=grid
that ^tht+rel+subj++=that
does ^vbz+doz+aux++=does
not ^xnot++not++=not
correspond ^vb++++=correspond
to ^in++++=to
its ^pp$+it+++=its
home ^nr++++=home,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
checks ^vb++++=checks
that ^tht+vcmp+obj++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
other ^ap++++=other
agent ^nn++++=agent
in ^in++++=in
a ^at++++=a
diameter ^nn++++=diameter
of ^in++++=of
1.8 ^cd++++=1.8
m ^zz++++=m.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
this ^dt+dem+++=this
condition ^nn++++=condition
is ^vbz+bez+aux++=is
verified ^vpsv++agls+xvbnx+=verified,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Ha ^uh++++=Ha
takes ^vbz++++=takes
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
waits ^nns+++??+=waits
until ^cs+sub+++=until
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
capacity ^nn++++=capacity
allows ^vbz++++=allows
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
distancing ^nn+++??+=distancing
has ^vbz+hvz+vrb++=has
a ^at++++=a
low ^jj+atrb+++=low
value ^nn++++=value,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
this ^dt+dem+++=this
Ha ^uh++++=Ha
moves ^vbz++++=moves,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
takes ^vbz++++=takes
the ^ati++++=the
corresponding ^jj+atrb+++=corresponding
place ^nn++++=place,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
the ^ati++++=the
allowed ^vpsv++agls+xvbn+=allowed
capacity ^nn++++=capacity.
. ^zz++++=EXTRAWORD
