Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
conceding ^vbg+++xvbg+=conceding
that ^tht+vcmp+++=that
the ^ati++++=the
ideas ^nns++++=ideas
pertaining ^vwbg+++xvbg+=pertaining
to ^in++++=to
the ^ati++++=the
normative ^nn+++??+=normative
and ^cc++++=and
valuebased ^nn+++??+=valuebased
elements ^nns++++=elements
of ^in++++=of
religious ^jj+atrb+++=religious
belief ^nn++++=belief
can ^md+pos+++=can
be ^vb+be+aux++=be
covered ^vpsv++agls+xvbnx+=covered
in ^in++++=in
an ^at++++=an
inclusive ^jj+atrb+++=inclusive
programme ^nn++++=programme
of ^in++++=of
philosophy ^nn++++=philosophy
and ^cc++++=and
ethics ^nn++++=ethics,
, ^zz++++=EXTRAWORD
the ^ati++++=the
society ^nn++++=society
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear
in ^in++++=in
asserting ^xvbg+++xvbg+=asserting
the ^ati++++=the
autonomy ^nn++++=autonomy
of ^in++++=of
public ^jj+atrb+++=public
values ^nns++++=values
from ^in++++=from
theological ^jj+atrb+++=theological
moral ^jj+atrb+++=moral
claims ^nns++++=claims
( ^zz++++=(National
national ^jj+atrb+++=EXTRAWORD
secular ^jj+atrb+++=Secular
society ^nn++++=Society,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
