Felipe ^np++++=Felipe
G ^zz++++=G
Martins ^np+++??+=Martins,
, ^zz++++=EXTRAWORD
International ^jj+atrb+++=International
Relations ^nns++++=Relations
Special ^jj+atrb+++=Special
Advisor ^vb+++??+=Advisor
to ^to+vcmp+++=to
the ^ati++++=the
President ^nn++++=President,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
caught ^vpsv++agls+xvbnx+=caught
on ^in++++=on
live ^vb++++=live
video ^nn++++=video
making ^vbg+++xvbg+=making
a ^at++++=a
white ^jj+atrb+++=white
supremacy ^nn++++=supremacy
hand ^nn++++=hand
gesture ^nn++++=gesture;
; ^zz++++=EXTRAWORD
