This ^dt+dem+++=This
tension ^nn++++=tension
between ^in++++=between
National ^jj+atrb+++=National
Curriculum ^nn++++=Curriculum
guidelines ^nns+++??+=guidelines
and ^cc++++=and
religious ^jj+atrb+++=religious
ethos ^nn++++=ethos
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
affected ^vprf+++xvbnx+=affected
those ^dt+dem+++=those
schools ^nns++++=schools
under ^in++++=under
Catholic ^jj+atrb+++=Catholic
patronage ^nn++++=patronage,
, ^zz++++=EXTRAWORD
as ^ql++++=as
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
from ^in++++=from
the ^ati++++=the
negative ^jj+atrb+++=negative
reaction ^nn++++=reaction
of ^in++++=of
the ^ati++++=the
Church ^nn++++=Church
to ^in++++=to
the ^ati++++=the
National ^jj+atrb+++=National
Council ^nn++++=Council
for ^in++++=for
Curriculum ^nn++++=Curriculum
and ^cc++++=and
Assessment ^nn++++=Assessment
s ^zz++++=s
( ^zz++++=(NCCA)
ncca ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
proposal ^nn++++=proposal
for ^in++++=for
an ^at++++=an
Education ^nn++++=Education
about ^in++++=about
Religions ^nns++++=Religions
and ^cc++++=and
Beliefs ^nns++++=Beliefs
and ^cc++++=and
Ethics ^nn++++=Ethics
programme ^nn++++=programme
in ^in++++=in
2015 ^cd++++=2015.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
consultation ^nn++++=consultation
report ^nn++++=report,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ncca ^np+++??+=NCCA
acknowledged ^vbd+vpub++xvbn+=acknowledged
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
a ^at++++=a
differentiated ^nn++++=differentiated
Re ^in++++=RE
and ^cc++++=and
Ethics ^nn++++=Ethics
education ^nn++++=education
that ^tht+rel+subj++=that
would ^md+prd+++=would
explore ^vb++++=explore
the ^ati++++=the
nuances ^nns++++=nuances
of ^in++++=of
theistic ^jj++++=theistic
and ^cc++++=and
non ^&fw++++=non-theistic
- ^zz++++=EXTRAWORD
theistic ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews
in ^in++++=in
a ^at++++=a
critical ^jj++++=critical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pluralist ^jj+atrb++??+=pluralist
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
though ^cs+sub+++=though
the ^ati++++=the
document ^nn++++=document
considered ^vwbn+vprv++xvbn+=considered
many ^ap++++=many
possibilities ^nns++++=possibilities
when ^wrb+who+++=when
addressing ^vbg+++xvbg+=addressing
topics ^nns++++=topics
and ^cc++++=and
questions ^nns++++=questions
related ^vbd+++xvbn+=related
to ^in++++=to
Erbe ^np+++??+=ERBE
both ^abx++++=both
in ^in++++=in
a ^at++++=a
separate ^vb++++=separate
subject ^nn++++=subject
and ^cc++++=and
throughout ^in++++=throughout
the ^ati++++=the
main ^jjb+atrb+++=main
Curriculum ^nn++++=Curriculum
particularly ^rb++++=particularly
in ^in++++=in
areas ^nns++++=areas
such ^abl++++=such
as ^ql++++=as
Social ^jj++++=Social,
, ^zz++++=EXTRAWORD
Personal ^jj++++=Personal
and ^cc++++=and
Health ^nn++++=Health
Education ^nn++++=Education
( ^zz++++=(SPHE)
sphe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Social ^jj++++=Social,
, ^zz++++=EXTRAWORD
Environmental ^jj+atrb+++=Environmental
and ^cc+phrs+++=and
Scientific ^jj+atrb+++=Scientific
Education ^nn++++=Education
( ^zz++++=(SESE)
sese ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
Ncca ^np+++??+=NCCA
stressed ^vbd+vpub++xvbn+=stressed
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
patrons ^nns++++=patrons
to ^to++++=to
allow ^vbi++++=allow
for ^in+ppvb+++=for
a ^at++++=a
reflective ^jj+atrb+++=reflective
attitude ^nn++++=attitude
towards ^in++++=towards
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
perspectives ^nns++++=perspectives
based ^vwbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
more ^rbr++++=more
pluralist ^nn+++??+=pluralist
epistemology ^nn+++??+=epistemology
which ^whp+rel+obj++=which
explores ^nns+++??+=explores
different ^jj+atrb+++=different
faiths ^nns++++=faiths
and ^cc++++=and
beliefs ^nns++++=beliefs
without ^in++++=without
promoting ^xvbg+++xvbg+=promoting
one ^cd1++++=one
faith ^nn++++=faith
perspective ^nn++++=perspective
above ^in+pl+++=above
another ^dt++++=another
( ^zz++++=(Republic
republic ^nn++++=EXTRAWORD
of ^in++++=of
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
National ^jj+atrb+++=National
