Comorbidities ^np+++??+=Comorbidities
increase ^nn++++=increase
the ^ati++++=the
probability ^nn++++=probability
of ^in++++=of
going ^nn++++=going
from ^in++++=from
infected ^nn++++=infected
to ^in++++=to
inpatient ^nn+++??+=inpatient
in ^in++++=in
Icu ^np+++??+=ICU
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
percentage ^nn++++=percentage
value ^nn++++=value
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
2 ^zz++++=2
[ ^zz++++=[33].
33 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
