Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
evaluated ^vbd+++xvbn+=evaluated
1,762 ^cd++++=1,762
residents ^nns++++=residents,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
764 ^cd++++=764
( ^zz++++=(43.4%)
43.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
in ^in++++=in
Mariana ^np+++??+=Mariana
and ^cc++++=and
998 ^cd++++=998
( ^zz++++=(56.6%)
56.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto.
. ^zz++++=EXTRAWORD
For ^in++++=For
both ^abx++++=both
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
51.9 ^cd++++=51.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
interviewees ^nns++++=interviewees
were ^vbd+bed+vrb++=were
female ^nn++++=female,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
predominance ^nn+++??+=predominance
of ^in++++=of
the ^ati++++=the
age ^nn++++=age
range ^nn++++=range
35 ^cd++++=35
to ^to++++=to
59 ^cd++++=59
years ^nns++++=years
old ^jj++++=old
( ^zz++++=(47.2%).
47.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
prevalence ^nn+++??+=prevalence
of ^in++++=of
the ^ati++++=the
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
was ^vbd+bedz+vrb++=was
5.5 ^cd++++=5.5%
% ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
6.2 ^cd++++=6.2%
% ^zz++++=EXTRAWORD
in ^in++++=in
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4.7 ^cd++++=4.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
Mariana ^np+++??+=Mariana.
 ^zz++++=EXTRAWORD
The ^ati++++=The
Prevalence ^nn++++=prevalence
Was ^vbd+bedz+vrb++=was
Similar ^jj+pred+++=similar
Between ^in++++=between
Cities ^nns++++=cities
 ^zz++++=(P>0.05).
P>0.05 ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
