<> corresponds to the cumulative number of deaths that country
i ^pp1a+pp1+++=i
would ^md+prd+++=would
have ^vb+hv+vrb++=have
in ^in++++=in
each ^dt++++=each
age ^nn++++=age
group ^nn++++=group
j ^zz++++=j
with ^in++++=with
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
in ^in++++=in
this ^dt+dem+++=this
age ^nn++++=age
group ^nn++++=group
and ^cc++++=and
the ^ati++++=the
population ^nn++++=population
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+vrb++=have
in ^in++++=in
this ^dt+dem+++=this
age ^nn++++=age
group ^nn++++=group
if ^cs+cnd+++=if
the ^ati++++=the
age ^nn++++=age
composition ^nn++++=composition
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
were ^vbd+bed+vrb++=were
the ^ati++++=the
same ^ap++++=same
in ^in++++=in
all ^abn++++=all
countries ^nns++++=countries
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
assumed ^vbd+vprv++xvbn+=assumed
the ^ati++++=the
distribution ^nn++++=distribution
by ^in++++=by
age ^nn++++=age
groups ^nns++++=groups
given ^vwbn+v+++=given
by ^in++++=by
the ^ati++++=the
world ^nn++++=world
population ^nn++++=population
age ^nn++++=age
pyramid ^nn++++=pyramid;
; ^zz++++=EXTRAWORD
