Different ^jj++++=Different
from ^in++++=from
the ^ati++++=the
Peru ^np++++=Peru
example ^nn++++=example
of ^in++++=of
dismantling ^nn++++=dismantling
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
Bauer ^np+++??+=Bauer
and ^cc++++=and
Becker ^np+++??+=Becker
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
populist ^nn+++??+=populist
s ^zz++++=s
negative ^jj+atrb+++=negative
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
meets ^vbz++++=meets
a ^at++++=a
weak ^jj+atrb+++=weak
administrative ^jj+atrb+++=administrative
order ^nn++++=order,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
met ^vbd+++xvbn+=met
an ^at++++=an
administrative ^jj++++=administrative
order ^vb++++=order
that ^tht+vcmp+++=that
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong
and ^cc++++=and
wellestablished ^nn+++??+=wellestablished.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
like ^in++++=like
Fujimori ^np+++??+=Fujimori,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
the ^ati++++=the
country ^nn++++=country
on ^in++++=on
a ^at++++=a
course ^nn++++=course
for ^in++++=for
neoliberal ^nn+++??+=neoliberal
administrative ^jj+atrb+++=administrative
reforms ^nns++++=reforms
under ^in++++=under
the ^ati++++=the
guidance ^nn++++=guidance
of ^in++++=of
his ^pp$+pp3+++=his
Minister ^nn++++=Minister
of ^in++++=of
the ^ati++++=the
Economy ^nn++++=Economy,
, ^zz++++=EXTRAWORD
Paulo ^np+++??+=Paulo
Guedes ^np+++??+=Guedes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
beyond ^in++++=beyond
pleasing ^xvbg+++xvbg+=pleasing
the ^ati++++=the
market ^nn++++=market,
, ^zz++++=EXTRAWORD
Bolsonaro ^np+++??+=Bolsonaro
also ^rb++++=also
adopted ^vbd+++xvbn+=adopted
an ^at++++=an
ideological ^jj+atrb+++=ideological
agenda ^nn++++=agenda
that ^tht+rel+subj++=that
collided ^vbd+++xvbn+=collided
with ^in++++=with
much ^rb++++=much
of ^in++++=of
what ^wdt+who+++=what
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
to ^in++++=to
public ^jj+atrb+++=public
policies ^nns++++=policies:
: ^zz++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
protection ^nn++++=protection,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
inclusion ^nn++++=inclusion,
, ^zz++++=EXTRAWORD
racial ^jj++++=racial
and ^cc++++=and
gender ^nn++++=gender
equality ^nn++++=equality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sciencebased ^nn+++??+=sciencebased
public ^jj+atrb+++=public
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
route ^nn++++=route
of ^in++++=of
collision ^nn++++=collision
produced ^vbd+++xvbn+=produced
authoritarian ^jj+atrb+++=authoritarian
acts ^nns++++=acts
and ^cc++++=and
processes ^nns++++=processes,
, ^zz++++=EXTRAWORD
meant ^vb+++xvbn+=meant
to ^to+vcmp+++=to
frighten ^vbi++++=frighten,
, ^zz++++=EXTRAWORD
intimidate ^nn++++=intimidate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
alienate ^vb++++=alienate
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy.
. ^zz++++=EXTRAWORD
