Not ^xnot++not++=Not
only ^rb+down+++=only
the ^ati++++=the
type ^nn++++=type
and ^cc++++=and
level ^nn++++=level
of ^in++++=of
support ^nn++++=support,
, ^zz++++=EXTRAWORD
also ^rb++++=also
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
provide ^vb+vsua+tht0++=provide
it ^pp3+it+++=it
can ^md+pos+++=can
vary ^vb++++=vary
substantially ^rb+cnj+++=substantially,
, ^zz++++=EXTRAWORD
with ^in++++=with
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
social ^jj+atrb+++=social
contacts ^nns++++=contacts
specializing ^vwbg+++xvbg+=specializing
in ^in++++=in
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
support ^nn++++=support
( ^zz++++=(
Wellman ^np++++=Wellman
and ^cc++++=and
Wortley ^np++++=Wortley,
, ^zz++++=EXTRAWORD
1990 ^cd+date+++=1990
; ^zz++++=;
Vacca ^np+++??+=Vacca,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
might ^md+pos+++=might
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
go ^vbi++++=go
to ^in++++=to
concerts ^nns++++=concerts
with ^in++++=with
their ^pp$+pp3+++=their
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
seek ^vb++++=seek
job ^nn++++=job-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
information ^nn+nom+++=information
from ^in++++=from
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ask ^vb++++=ask
parents ^nns++++=parents
for ^in++++=for
help ^nn++++=help
with ^in++++=with
childcare ^nn+++??+=childcare.
. ^zz++++=EXTRAWORD
Migrants ^nns+nom++??+=Migrants
are ^vb+ber+vrb++=are
no ^at++++=no
exception ^nn+nom+++=exception
to ^in++++=to
this ^dt+dem+++=this
differentiation ^nn+nom+++=differentiation
of ^in++++=of
supportive ^jj+atrb+++=supportive
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
they ^pp3a+pp3+++=they
maintain ^vb+vpub+++=maintain
multiple ^nn++++=multiple
and ^cc++++=and
specialized ^jj+atrb++xvbn+=specialized
ties ^nns++++=ties
they ^pp3a+pp3+++=they
can ^md+pos+++=can
rely ^vb++++=rely
on ^in++++=on
for ^in++++=for
support ^nn++++=support
in ^in++++=in
different ^jj+atrb+++=different
domains ^nns++++=domains
( ^zz++++=(
Bilecen ^np++++=Bilecen
and ^cc++++=and
Sienkiewicz ^np+++??+=Sienkiewicz,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
; ^zz++++=;
Bilecen ^np+++??+=Bilecen
and ^cc++++=and
Cardona ^np+++??+=Cardona,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Lubbers ^nns+nom++??+=Lubbers
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Menj ^np+++??+=Menj
var ^nn+++??+=var,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
; ^zz++++=;
vacca ^np++++=Vacca
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021
) ^zz++++=).
. ^zz++++=EXTRAWORD
