Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conduct ^vb++++=conduct
an ^at++++=an
additional ^jj+atrb+++=additional
series ^nn++++=series
of ^in++++=of
sensitivity ^nn+nom+++=sensitivity
analyses ^nns++++=analyses
to ^in++++=to
further ^jjb++++=further
verify ^vb+vpub+++=verify
the ^ati++++=the
robustness ^nns+nom+++=robustness
of ^in++++=of
our ^pp$+pp1+++=our
results ^nns++++=results.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
use ^nn++++=use
alternative ^jj+atrb+++=alternative
bandwidths ^nns+++??+=bandwidths
for ^in++++=for
age ^nn++++=age,
, ^zz++++=EXTRAWORD
perform ^vb++++=perform
a ^at++++=a
placebo ^nn+++??+=placebo
difference ^nn+nom+++=difference-in-discontinuity
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
discontinuity ^nn+nom+++=EXTRAWORD
at ^in++++=at
age ^nn++++=age
16 ^cd++++=16,
, ^zz++++=EXTRAWORD
use ^nn++++=use
non ^&fw++++=non-linear
- ^zz++++=EXTRAWORD
linear ^jj+atrb+++=EXTRAWORD
models ^nns++++=models,
, ^zz++++=EXTRAWORD
include ^vb++++=include
postcode ^nn+++??+=postcode-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
fixed ^vbd+++xvbn+=fixed
effects ^nns++++=effects
to ^to++++=to
allow ^vbi++++=allow
for ^in+ppvb+++=for
geographical ^jj+atrb+++=geographical
patterns ^nns++++=patterns
changing ^vwbg+++xvbg+=changing
over ^in++++=over
the ^ati++++=the
study ^nn++++=study
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exclude ^vb++++=exclude
all ^abn++++=all
controls ^vbz++++=controls.
. ^zz++++=EXTRAWORD
All ^abn++++=All
analyses ^nns++++=analyses
are ^vb+ber+aux++=are
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
Stata ^np+++??+=STATA
( ^zz++++=(StataCorp,
statacorp ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
and ^cc++++=and
strobe ^np++++=STROBE
guidelines ^nns++++=guidelines
for ^in++++=for
reporting ^jj+atrb+++=reporting
observational ^jj+atrb+++=observational
studies ^nns++++=studies
are ^vb+ber+aux++=are
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
