Our ^pp$+pp1+++=Our
argument ^nn+nom+++=argument
builds ^vbz++++=builds
upon ^in++++=upon
the ^ati++++=the
Social ^jj+atrb+++=Social
Determinants ^nns+nom++??+=Determinants
of ^in++++=of
Health ^nn++++=Health
( ^zz++++=(SDH)
sdh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
emphasises ^vbz+vpub+++=emphasises
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
viewing ^xvbg+++xvbg+=viewing
health ^nn++++=health
outcomes ^nns+++??+=outcomes
as ^ql++++=as
a ^at++++=a
social ^jj+atrb+++=social
phenomenon ^nn++++=phenomenon
that ^tht+rel+subj++=that
demand ^vb++++=demand
a ^at++++=a
broad ^jj+atrb+++=broad
range ^nn++++=range
of ^in++++=of
intersectoral ^jj+atrb+++=intersectoral
initiatives ^nns++++=initiatives
( ^zz++++=(
Solar ^np++++=Solar
and ^cc++++=and
Irwin ^np++++=Irwin
2010 ^cd++++=2010
; ^zz++++=;
Krieger ^np+++??+=Krieger
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
determinants ^nns+nom+++=determinants
of ^in++++=of
health ^nn++++=health
are ^vb+ber+aux++=are
understood ^vpsv++agls+xvbnx+=understood
as ^ql++++=as
the ^ati++++=the
wider ^jjr+atrb+++=wider
conditions ^nns+nom+++=conditions
in ^in++++=in
which ^whp+rel+pied++=which
people ^nns++++=people
are ^vb+ber+aux++=are
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
live ^vb++++=live,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
age ^nn++++=age.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
encompass ^vbz+++??+=encompass
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
socioeconomic ^jj+atrb+++=socioeconomic
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
education ^nn+nom+++=education
and ^cc++++=and
employment ^nn+nom+++=employment
, ^zz++++=,
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
urban ^jj+atrb+++=urban
and ^cc+phrs+++=and
physical ^jj+atrb+++=physical
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
robustness ^nns+nom+++=robustness
of ^in++++=of
social ^jj+atrb+++=social
support ^nn++++=support
networks ^nns++++=networks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
access ^nn++++=access
to ^in++++=to
health ^nn++++=health
care ^nn++++=care
( ^zz++++=(
Adler ^np++++=Adler
and ^cc++++=and
Stewart ^np++++=Stewart
2010 ^cd++++=2010
; ^zz++++=;
Gottlieb ^np+++??+=Gottlieb
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
insights ^nns++++=insights
of ^in++++=of
the ^ati++++=the
Sdh ^np+++??+=SDH
literature ^nn++++=literature
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
demonstrable ^jj+atrb+++=demonstrable
impact ^nn++++=impact
on ^in++++=on
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
health ^nn++++=health
policy ^nn++++=policy
at ^in++++=at
the ^ati++++=the
global ^jj+atrb+++=global
level ^nn++++=level.
. ^zz++++=EXTRAWORD
By ^rb++++=By
and ^rb"++++=and
large ^rb"++++=large,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
various ^jj+atrb+++=various
social ^jj+atrb+++=social
determinants ^nns+nom+++=determinants
identified ^vwbn+++xvbn+=identified
in ^in++++=in
this ^dt+dem+++=this
literature ^nn++++=literature
have ^vb+hv+aux++=have
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
epidemiological ^jj+atrb+++=epidemiological
modelling ^nvbg+++xvbg+=modelling.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
remains ^vbz++++=remains
a ^at++++=a
significant ^jj+atrb+++=significant
gap ^nn++++=gap
in ^in++++=in
both ^abx++++=both
understanding ^jj+++xvbg+=understanding
and ^cc+phrs+++=and
addressing ^jj+++xvbg+=addressing
the ^ati++++=the
differential ^jj+atrb+++=differential
vulnerabilities ^nns+nom+++=vulnerabilities
associated ^jj++++=associated
with ^in++++=with
pandemics ^nns++++=pandemics
such ^abl++++=such
as ^ql++++=as
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
