Ultimately ^rb++++=Ultimately
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
evidence ^nn+nom+++=evidence
that ^tht+rel+++=that
after ^in++++=after
remaining ^xvbg+++xvbg+=remaining
fairly ^rb++++=fairly
static ^jj++++=static
between ^in++++=between
the ^ati++++=the
1930s ^cd+date+++=1930s
and ^cc++++=and
1960s ^cd+date+++=1960s,
, ^zz++++=EXTRAWORD
combined ^jj+atrb++xvbn+=combined
pronouns ^nns++++=pronouns
underwent ^jj++++=underwent
some ^dti++++=some
form ^nn++++=form
of ^in++++=of
shift ^nn++++=shift
between ^in++++=between
the ^ati++++=the
1960s ^cd+date+++=1960s
and ^cc++++=and
the ^ati++++=the
1990s ^cd+date+++=1990s.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
limitations ^nns+nom+++=limitations
of ^in++++=of
the ^ati++++=the
data ^nns++++=data,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
way ^nn++++=way
to ^to++++=to
tell ^vbi++++=tell
how ^wrb+who+++=how
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
developed ^vbd+++xvbn+=developed
between ^in++++=between
1961 ^cd+date+++=1961
( ^zz++++=(the
the ^ati++++=EXTRAWORD
date ^nn++++=date
of ^in++++=of
texts ^nns++++=texts
in ^in++++=in
the ^ati++++=the
1960s ^cd+date+++=1960s
corpora ^nn+++??+=corpora)
) ^zz++++=EXTRAWORD
and ^cc++++=and
1991 ^cd+date+++=1991
( ^zz++++=(the
the ^ati++++=EXTRAWORD
date ^nn++++=date
of ^in++++=of
texts ^nns++++=texts
in ^in++++=in
the ^ati++++=the
1990s ^cd+date+++=1990s
corpora ^nn+++??+=corpora),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible
to ^to+jcmp+++=to
determine ^vbi++++=determine
the ^ati++++=the
exact ^jj+atrb+++=exact
time ^nn++++=time
point ^nn++++=point
when ^wrb+who+++=when
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
began ^vbd+++xvbn+=began
to ^to++++=to
spike ^vbi+++??+=spike.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
combined ^xvbn+++xvbn+=combined
pronouns ^nns++++=pronouns
grew ^vbd+++xvbn+=grew
in ^in++++=in
use ^nn++++=use
at ^rb++++=at
a ^at++++=a
steady ^jj+atrb+++=steady
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perhaps ^rb++++=perhaps
more ^rbr++++=more
likely ^jj++++=likely,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
peaks ^nns++++=peaks
and ^cc++++=and
troughs ^nns++++=troughs
in ^in++++=in
