Demographic ^np+++??+=Demographic,
, ^zz++++=EXTRAWORD
socioeconomic ^jj+atrb+++=socioeconomic
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
Participants ^nns+nom+++=Participants
were ^vbd+bed+vrb++=were
all ^abn++++=all
adults ^nns++++=adults
aged ^jj++++=aged
between ^in++++=between
18 ^cd++++=18
and ^cc++++=and
89 ^cd++++=89
years ^nns++++=years
( ^zz++++=(
X ^zz++++=X
= ^zz++++==
50.44 ^cd++++=50.44,
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD
= ^zz++++==
0.87 ^nn+++??+=0.87)
) ^zz++++=EXTRAWORD
and ^cc++++=and
participants ^nns+nom+++=participants
with ^in++++=with
disabilities ^nns+nom+++=disabilities
were ^vbd+bed+vrb++=were
on ^in++++=on
average ^jj++++=average
slightly ^rb+down+++=slightly
older ^jjr++++=older
( ^zz++++=(approximately
approximately ^rb+down+++=EXTRAWORD
4 ^zz++++=4
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
years ^nns++++=years)
) ^zz++++=EXTRAWORD
than ^in++++=than
participants ^nns+nom+++=participants
without ^in++++=without
disabilities ^nns+nom+++=disabilities.
. ^zz++++=EXTRAWORD
About ^in++++=About
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
both ^abx++++=both
groups ^nns++++=groups
were ^vbd+bed+vrb++=were
female ^nn++++=female.
. ^zz++++=EXTRAWORD
All ^abn++++=All
participants ^nns+nom+++=participants
were ^vbd+bed+vrb++=were
Black ^jj+atrb+++=Black
South ^nr+pl+++=South
African ^jj++++=African.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
two ^cd++++=two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
( ^zz++++=(63.1%)
63.1 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
entire ^jjb+atrb+++=entire
