This ^dt+dem+++=This
manuscript ^nn++++=manuscript
examines ^vbz++++=examines
an ^at++++=an
array ^nn++++=array
of ^in++++=of
options ^nns+nom+++=options
for ^in++++=for
representing ^xvbg+++xvbg+=representing
mobility ^nn+nom+++=mobility,
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
vulnerability ^nn+nom+++=vulnerability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
combination ^nn+nom+++=combination
of ^in++++=of
those ^dt+dem+++=those
factors ^nns++++=factors
for ^in++++=for
modeling ^nn+nom+++=modeling
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
A ^at++++=A
comparison ^nn++++=comparison
of ^in++++=of
these ^dt+dem+++=these
metrics ^nns++++=metrics
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
mobility ^nn+nom+++=mobility
measures ^nns++++=measures
supersede ^vb++++=supersede
community ^nn+nom+++=community
vulnerability ^nn+nom+++=vulnerability
measures ^nns++++=measures
in ^in++++=in
this ^dt+dem+++=this
setting ^nvbg+++xvbg+=setting.
. ^zz++++=EXTRAWORD
Varying ^jj+atrb++xvbg+=Varying
patterns ^nns++++=patterns
emerge ^vb++++=emerge:
: ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
patterns ^nns++++=patterns
suggest ^vb+vpub+++=suggest
less ^rbr++++=less
mobility ^nn+nom+++=mobility
with ^in++++=with
less ^ql++++=less
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
presence ^nn+nom+++=presence
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
others ^aps++++=others
indicate ^nn+nom+++=indicate
less ^rbr++++=less
mobility ^nn+nom+++=mobility
with ^in++++=with
more ^ql++++=more
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
around ^in++++=around
the ^ati++++=the
holiday ^nn++++=holiday
season ^nn++++=season.
. ^zz++++=EXTRAWORD
As ^ql++++=As
one ^cd1++++=one
might ^md+pos+++=might
expect ^vb+vprv+++=expect,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
clear ^jj+atrb+++=clear
trends ^nns++++=trends
in ^in++++=in
the ^ati++++=the
vulnerability ^nn+nom+++=vulnerability
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Underlying ^jj+atrb++xvbg+=Underlying
vulnerability ^nn+nom+++=vulnerability
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
typically ^rb++++=typically
subject ^vb++++=subject
to ^in++++=to
rapid ^jj+atrb+++=rapid
change ^nn++++=change
and ^cc+cls+++=and
hence ^rb+cnj+++=hence
would ^md+prd+++=would
not ^xnot++not++=not
fluctuate ^nn+nom+++=fluctuate
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
mobility ^nn+nom+++=mobility.
. ^zz++++=EXTRAWORD
Pvi ^np+++??+=PVI
combines ^vbz++++=combines
vulnerability ^nn+nom+++=vulnerability
and ^cc++++=and
mobility ^nn+nom+++=mobility
information ^nn+nom+++=information
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
achieves ^vbz++++=achieves
the ^ati++++=the
best ^jjt+atrb+++=best
fit ^nn++++=fit
for ^in++++=for
modeling ^nn+nom+++=modeling
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
estimates ^nns+nom+++=estimates
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
mobility ^nn+nom+++=mobility
measures ^nns++++=measures
appear ^vb+seem+++=appear
more ^rbr++++=more
informative ^jj++++=informative,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
indicate ^nn+nom+++=indicate
overfitting ^nn++++=overfitting
in ^in++++=in
the ^ati++++=the
pvi ^np++++=PVI
model ^nn++++=model.
. ^zz++++=EXTRAWORD
