Historically ^rb+cnj+++=Historically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
English ^jj++++=English
does ^vbz+doz+aux++=does
not ^xnot++not++=not
have ^vb+hv+vrb++=have
a ^at++++=a
( ^zz++++=(formally-endorsed)
formally ^rb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
endorsed ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
gender ^nn++++=gender-neutral
- ^zz++++=EXTRAWORD
neutral ^jj++++=EXTRAWORD
third ^od++++=third-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
animate ^nn+nom+++=animate
singular ^nn++++=singular
pronoun ^nn++++=pronoun.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
established ^jj+++xvbn+=established
third ^od++++=third-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
pronoun ^nn++++=pronoun
paradigm ^nn++++=paradigm
( ^zz++++=(
Figure ^np++++=Figure
1 ^zz++++=1
) ^zz++++=),
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
printed ^jj+++xvbn+=printed
in ^in++++=in
grammar ^nn++++=grammar
guides ^nns++++=guides
and ^cc++++=and
taught ^vpsv++agls+xvbn+=taught
in ^in++++=in
schools ^nns++++=schools
( ^zz++++=(in
in ^in++++=EXTRAWORD
both ^abx++++=both
L1 ^np+++??+=L1
and ^cc++++=and
L2 ^np+++??+=L2
contexts ^nns++++=contexts),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
speakers ^nns+nom+++=speakers
of ^in++++=of
English ^nn++++=English
must ^md+nec+++=must
decide ^vb+vprv+++=decide
between ^in++++=between
he ^pp3a+pp3+++=he
and ^cc++++=and
she ^pp3a+pp3+++=she
when ^wrb+who+++=when
referring ^vbg+++xvbg+=referring
to ^in++++=to
any ^dti++++=any
animate ^nn+nom+++=animate
third ^od++++=third-person
- ^zz++++=EXTRAWORD
person ^nn++++=EXTRAWORD
singular ^jj++++=singular
referent ^jj++++=referent.
. ^zz++++=EXTRAWORD
In ^in++++=In
most ^ql+emph+++=most
cases ^nns++++=cases
this ^dt+dem+++=this
choice ^nn++++=choice
is ^vbz+bez+vrb++=is
unproblematic ^jj+pred+++=unproblematic;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
( ^zz++++=(binary)
binary ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
gender ^nn++++=gender
of ^in++++=of
the ^ati++++=the
intended ^jj+++xvbn+=intended
referent ^jj++++=referent
then ^rn+tm+++=then
you ^pp2+pp2+++=you
can ^md+pos+++=can
choose ^vb++++=choose
the ^ati++++=the
matching ^jj+atrb+++=matching
pronoun ^nn++++=pronoun.
. ^zz++++=EXTRAWORD
