Those ^dt+dem+++=Those
that ^dt+pdem+++=that
occur ^vb++++=occur
exclusively ^rb++++=exclusively
on ^in++++=on
the ^ati++++=the
Trjps ^np+++??+=TRJPS
list ^nn++++=list
in ^in++++=in
Table ^nn++++=Table
7 ^zz++++=7
, ^zz++++=,
by ^in++++=by
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
little ^rb++++=little
in ^rb++++=in
common ^rb"++++=common
with ^in++++=with
Durrant ^np+nom+++=Durrant's
's ^$++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
findings ^nns++++=findings
about ^rp++++=about
university ^npl+nom+++=university
student ^nn++++=student
writing ^vwbg+++xvbg+=writing
or ^cc++++=or
Hyland ^np++++=Hyland's
's ^$++++=EXTRAWORD
( ^zz++++=(2008a:
2008a ^cd++++=EXTRAWORD
: ^zz++++=EXTRAWORD
12 ^cd++++=12,
, ^zz++++=EXTRAWORD
Table ^nn++++=Table
6 ^zz++++=6
) ^zz++++=)
lists ^nns++++=lists
of ^in++++=of
frequent ^jj+atrb+++=frequent
bundles ^nns++++=bundles
in ^in++++=in
four ^cd++++=four
other ^ap++++=other
disciplines ^nns++++=disciplines
( ^zz++++=(Biology,
biology ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Electrical ^jj+atrb+++=Electrical
Engineering ^nn++++=Engineering,
, ^zz++++=EXTRAWORD
Applied ^xvbn+++xvbn+=Applied
Linguistics ^nn++++=Linguistics
, ^zz++++=,
Business ^nns+nom+++=Business
Studies ^nns++++=Studies).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^nvbg+++xvbg+=following,
, ^zz++++=EXTRAWORD
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
stand ^vb++++=stand
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
discipline ^nn++++=discipline
of ^in++++=of
political ^jj+atrb+++=political
science ^nn+nom+++=science
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
Durrant ^np+nom++??+=Durrant
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Hyland ^np+++??+=Hyland
( ^zz++++=(2008a)
2008a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
: ^zz++++=:
those ^dt+dem+++=those
that ^dt+pdem+++=that
involve ^vb++++=involve
likely ^jj++++=likely
( ^zz++++=(
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
likely ^jj++++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
likely ^jj++++=likely
to ^to+jcmp+++=to,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
effect(s ^nns+++??+=effect(s)
) ^zz++++=EXTRAWORD
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dependent ^jj+atrb+++=dependent
variable ^nn++++=variable,
, ^zz++++=EXTRAWORD
the ^ati++++=the
status ^nn++++=status
quo ^&fw++++=quo,
, ^zz++++=EXTRAWORD
roll ^nn++++=roll
call ^vb++++=call
votes ^nns++++=votes.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
bundles ^nns++++=bundles
also ^rb++++=also
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
the ^ati++++=the
functions ^nns+nom+++=functions
of ^in++++=of
R3 ^np+++??+=R3
( ^zz++++=(research
research ^nn++++=EXTRAWORD
procedure ^nn++++=procedure/topic)
and ^cc++++=and
P1 ^np+++??+=P1
( ^zz++++=(stance
stance ^nn++++=EXTRAWORD
markers ^nns+nom+++=markers)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Trjps ^np+++??+=TRJPS
corpus ^nn++++=corpus.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
( ^zz++++=(8)-(12)
8) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
illustrate ^nn+nom+++=illustrate
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
bundles ^nns++++=bundles
involving ^vwbg+++xvbg+=involving
likely ^jj++++=likely
in ^in++++=in
the ^ati++++=the
Trjps ^np+++??+=TRJPS
corpus ^nn++++=corpus.
. ^zz++++=EXTRAWORD
Variable ^jj+atrb+++=Variable
forms ^nns++++=forms
of ^in++++=of
( ^zz++++=(
be ^vb+be+vrb++=be
) ^zz++++=)
( ^zz++++=(
more ^rbr++++=more/less
) ^zz++++=)
likely ^jj++++=likely
( ^zz++++=(
to ^in++++=to
than ^in++++=than
) ^zz++++=)
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^in++++=to
hedge ^nn++++=hedge
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
propositions ^nns+nom+++=propositions,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
author ^nn++++=author's
's ^$++++=EXTRAWORD
own ^ap++++=own
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
results ^nns++++=results
( ^zz++++=(8),
8 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hypotheses ^nns+nom+++=hypotheses
( ^zz++++=(9,
9 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
